repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.7647058823529411,0.6424581005586593,0.8020477815699659,0.7123287671232876,0.5473684210526316,0.6190476190476191,0.6814536340852131,0.7918088737201365,0.8083623693379791,0.8,0.863598755433326,179,586
1,2,0.7163398692810458,0.5652173913043478,0.7566225165562914,0.5588235294117647,0.25675675675675674,0.35185185185185186,0.6155638397017708,0.9351351351351351,0.5616883116883117,0.7018255578093306,0.8624078624078624,161,604
1,3,0.7607843137254902,0.6275862068965518,0.7919354838709678,0.6571428571428571,0.6052631578947368,0.6301369863013698,0.6941266209000764,0.779874213836478,0.8078175895765473,0.7936,0.8541902987792821,145,620
1,4,0.681045751633987,0.6513157894736842,0.6884176182707994,0.6049382716049383,0.7,0.6490066225165563,0.703658536585366,0.6639784946236559,0.7891373801916933,0.7211678832116788,0.7738232161874334,152,613
1,5,0.7068062827225131,0.5828220858895705,0.740432612312812,0.580952380952381,0.7176470588235294,0.6421052631578947,0.6509803921568628,0.7031700288184438,0.8215488215488216,0.7577639751552795,0.8237196526670211,163,601
2,1,0.6928104575163399,0.6418918918918919,0.7050243111831442,0.5753424657534246,0.65625,0.6131386861313869,0.6912202380952381,0.7222222222222222,0.6949685534591195,0.7083333333333334,0.7838812814202478,148,617
2,2,0.7241830065359477,0.5987654320987654,0.75787728026534,0.684931506849315,0.5434782608695652,0.6060606060606061,0.6760869565217391,0.7482758620689656,0.7482758620689656,0.7482758620689656,0.8130329403988102,162,603
2,3,0.7633986928104575,0.5345911949685535,0.8234323432343235,0.527027027027027,0.5,0.5131578947368421,0.5649730927508705,0.801829268292683,0.8622950819672132,0.8309636650868878,0.8887533358749523,159,606
2,4,0.7673202614379085,0.6392405063291139,0.800658978583196,0.6097560975609756,0.6666666666666666,0.6369426751592356,0.674859437751004,0.7894736842105263,0.827922077922078,0.8082408874801902,0.8734852104417321,158,607
2,5,0.7670157068062827,0.5838150289017341,0.8206429780033841,0.7021276595744681,0.3626373626373626,0.4782608695652174,0.6667113374430449,0.8517110266159695,0.7697594501718213,0.8086642599277978,0.8862199312714777,173,591
3,1,0.7568627450980392,0.5657142857142857,0.8135593220338984,0.5454545454545454,0.5060240963855421,0.525,0.5898376113148245,0.7755102040816326,0.8896321070234113,0.8286604361370716,0.8800124125090508,175,590
3,2,0.4993464052287582,0.49056603773584906,0.5016501650165016,0.49056603773584906,1.0,0.6582278481012658,0.5,0.5016501650165016,1.0,0.6681318681318681,0.5,159,606
3,3,0.7620915032679738,0.6209150326797386,0.7973856209150327,0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6603418803418803,0.7465940054495913,0.898360655737705,0.8154761904761905,0.8718214342927323,153,612
3,4,0.7542483660130719,0.6234567901234568,0.7893864013266998,0.5686274509803921,0.7733333333333333,0.655367231638418,0.6472030651340996,0.7387862796833773,0.9090909090909091,0.8151382823871907,0.8655183799251596,162,603
3,5,0.7931937172774869,0.6026490066225165,0.8401305057096248,0.6911764705882353,0.5465116279069767,0.6103896103896104,0.6470483005366725,0.8173076923076923,0.8614864864864865,0.8388157894736842,0.8960908858385198,151,613
4,1,0.4993464052287582,0.5316455696202531,0.49093904448105435,0.5316455696202531,1.0,0.6942148760330579,0.5,0.49093904448105435,1.0,0.6585635359116022,0.5,158,607
4,2,0.7633986928104575,0.569620253164557,0.8138385502471169,0.5135135135135135,0.5428571428571428,0.5277777777777778,0.6056818181818182,0.819935691318328,0.8173076923076923,0.8186195826645265,0.8593763581051715,158,607
4,3,0.7477124183006536,0.7197452229299363,0.7549342105263158,0.7362637362637363,0.7701149425287356,0.7528089887640449,0.7688013136288999,0.7304075235109718,0.7871621621621622,0.7577235772357723,0.8112006237006236,157,608
4,4,0.7477124183006536,0.65625,0.771900826446281,0.6938775510204082,0.4594594594594595,0.5528455284552846,0.707416719044626,0.8547717842323651,0.6666666666666666,0.7490909090909091,0.8518761479926529,160,605
4,5,0.7238219895287958,0.5868263473053892,0.7621440536013401,0.5816326530612245,0.6705882352941176,0.6229508196721312,0.5903873744619799,0.7002583979328165,0.9124579124579124,0.7923976608187134,0.8420987654320987,167,597
5,1,0.7333333333333333,0.5548780487804879,0.7820299500831946,0.5729166666666666,0.632183908045977,0.6010928961748634,0.5626212867592177,0.731638418079096,0.8779661016949153,0.7981510015408321,0.8539548022598872,164,601
5,2,0.7555555555555555,0.61875,0.7917355371900826,0.6756756756756757,0.5747126436781609,0.6211180124223602,0.6635175562903479,0.744927536231884,0.8711864406779661,0.803125,0.8610060142154182,160,605
5,3,0.7411764705882353,0.6211180124223602,0.7731788079470199,0.6666666666666666,0.45569620253164556,0.5413533834586466,0.6321395492435938,0.874439461883408,0.6414473684210527,0.7400379506641366,0.8754714912280701,161,604
5,4,0.7477124183006536,0.6547619047619048,0.7738693467336684,0.6346153846153846,0.7674418604651163,0.6947368421052632,0.6486103233125354,0.7154255319148937,0.9057239057239057,0.799405646359584,0.8768125701459034,168,597
5,5,0.7107329842931938,0.7006802721088435,0.713128038897893,0.6349206349206349,0.6557377049180327,0.6451612903225806,0.7518109035455586,0.725,0.7227414330218068,0.7238689547581904,0.7893933653279448,147,617
