repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6190476190476191,0.60790273556231,0.6714285714285714,0.5972222222222222,0.6554878048780488,0.6250000000000001,0.6582224685883222,0.6865671641791045,0.647887323943662,0.6666666666666667,0.747091243110839,658,140
1,2,0.6303258145363408,0.6146645865834633,0.6942675159235668,0.5989445910290238,0.7049689440993789,0.6476462196861626,0.6739714558305263,0.704225352112676,0.6493506493506493,0.6756756756756757,0.726461038961039,641,157
1,3,0.6428571428571429,0.6455696202531646,0.6325301204819277,0.7401960784313726,0.468944099378882,0.5741444866920152,0.7031556802244039,0.5930232558139535,0.6623376623376623,0.6257668711656442,0.7193929665839779,632,166
1,4,0.5997490589711418,0.5876777251184834,0.6463414634146342,0.6455026455026455,0.3860759493670886,0.48316831683168315,0.6384219143073913,0.6582278481012658,0.6265060240963856,0.6419753086419754,0.7103971441320838,633,164
1,5,0.6511919698870765,0.6378205128205128,0.6994219653179191,0.630718954248366,0.630718954248366,0.630718954248366,0.6995519381756895,0.6923076923076923,0.782608695652174,0.7346938775510203,0.7771068169618893,624,173
2,1,0.6015037593984962,0.6107692307692307,0.5608108108108109,0.6340579710144928,0.5351681957186545,0.5804311774461028,0.6740136904592835,0.5573770491803278,0.4722222222222222,0.5112781954887219,0.6438230994152047,650,148
2,2,0.6177944862155389,0.603225806451613,0.6685393258426966,0.6066176470588235,0.5427631578947368,0.5729166666666666,0.664848434377082,0.7142857142857143,0.631578947368421,0.670391061452514,0.741154090044388,620,178
2,3,0.6453634085213033,0.6280864197530864,0.72,0.6354515050167224,0.5900621118012422,0.6119162640901772,0.6790477460656175,0.7160493827160493,0.7532467532467533,0.7341772151898733,0.7765522149083792,648,150
2,4,0.6235884567126725,0.615506329113924,0.6545454545454545,0.5989010989010989,0.692063492063492,0.6421207658321061,0.6481698462771017,0.6391752577319587,0.7380952380952381,0.6850828729281768,0.7452968841857731,632,165
2,5,0.628607277289837,0.6159874608150471,0.6792452830188679,0.6441281138790036,0.5552147239263804,0.5963756177924218,0.6751612395784174,0.6235294117647059,0.7361111111111112,0.6751592356687899,0.7155172413793104,638,159
3,1,0.631578947368421,0.6186046511627907,0.6862745098039216,0.6005434782608695,0.690625,0.6424418604651163,0.6677788461538461,0.7012987012987013,0.6835443037974683,0.6923076923076923,0.7649674991447142,645,153
3,2,0.6228070175438597,0.6231884057971014,0.6214689265536724,0.6129032258064516,0.6720257234726688,0.6411042944785276,0.6599522871071466,0.6296296296296297,0.5795454545454546,0.6035502958579881,0.6661133810010215,621,177
3,3,0.6215538847117794,0.6048,0.6820809248554913,0.6521739130434783,0.43548387096774194,0.5222437137330754,0.657931387608807,0.7023809523809523,0.6629213483146067,0.6820809248554913,0.7411717495987159,625,173
3,4,0.644918444165621,0.6374807987711214,0.678082191780822,0.7155172413793104,0.49404761904761907,0.5845070422535211,0.6992630385487527,0.6052631578947368,0.7301587301587301,0.6618705035971223,0.7227003251099636,651,146
3,5,0.6248431618569636,0.6145510835913313,0.6688741721854304,0.646551724137931,0.47318611987381703,0.546448087431694,0.6622496236564296,0.746031746031746,0.5802469135802469,0.6527777777777778,0.7744268077601412,646,151
4,1,0.6403508771929824,0.6191222570532915,0.725,0.6915422885572139,0.434375,0.5335892514395393,0.6862323113207547,0.7397260273972602,0.6835443037974683,0.7105263157894737,0.7557430848570089,638,160
4,2,0.6190476190476191,0.6019108280254777,0.6823529411764706,0.5942028985507246,0.6507936507936508,0.6212121212121213,0.6461078147979107,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.7405869324473975,628,170
4,3,0.6416040100250626,0.6265625,0.7025316455696202,0.6258064516129033,0.61198738170347,0.6188197767145136,0.6478206092332334,0.6881720430107527,0.7804878048780488,0.7314285714285715,0.7769576379974327,640,158
4,4,0.6386449184441656,0.6207430340557275,0.7152317880794702,0.6097560975609756,0.6901840490797546,0.6474820143884892,0.6729198619631902,0.7083333333333334,0.6986301369863014,0.703448275862069,0.7627327010888655,646,151
4,5,0.6511919698870765,0.6446540880503144,0.6770186335403726,0.67578125,0.5474683544303798,0.604895104895105,0.6987045094936708,0.65625,0.7682926829268293,0.7078651685393258,0.7283112071627046,636,161
5,1,0.6265664160401002,0.6058732612055642,0.7152317880794702,0.6513761467889908,0.4423676012461059,0.5269016697588126,0.6510043384362518,0.7536231884057971,0.6666666666666666,0.7074829931972789,0.7952230417983842,647,151
5,2,0.6203007518796992,0.6158730158730159,0.6369047619047619,0.627831715210356,0.6043613707165109,0.6158730158730159,0.6575628345885128,0.5934065934065934,0.6923076923076923,0.6390532544378699,0.678917378917379,630,168
5,3,0.6541353383458647,0.642512077294686,0.6949152542372882,0.6205882352941177,0.694078947368421,0.65527950310559,0.6892121866179645,0.7411764705882353,0.6631578947368421,0.7000000000000001,0.7463414634146341,621,177
5,4,0.6348808030112923,0.6303680981595092,0.6551724137931034,0.6741573033707865,0.5389221556886228,0.5990016638935108,0.6819003502429104,0.5925925925925926,0.7384615384615385,0.6575342465753424,0.7255769230769231,652,145
5,5,0.6411543287327478,0.6253918495297806,0.7044025157232704,0.6459143968871596,0.5286624203821656,0.5814360770577933,0.6590783989934734,0.6868686868686869,0.8095238095238095,0.7431693989071038,0.7357142857142857,638,159
