repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.5009375,0,80
1,2,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.48375,0,80
1,3,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.60875,0,80
1,4,0.4875,0.0,0.4875,0.0,0.0,0.0,0.5,0.4878048780487805,0.5,0.49382716049382713,0.505,0,80
1,5,0.6125,0.0,0.6125,0.0,0.0,0.0,0.5,0.6153846153846154,0.6,0.6075949367088608,0.629375,0,80
2,1,0.5375,0.0,0.5375,0.0,0.0,0.0,0.5,0.5384615384615384,0.525,0.5316455696202531,0.5756249999999999,0,80
2,2,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.381875,0,80
2,3,0.5625,0.0,0.5625,0.0,0.0,0.0,0.5,0.5581395348837209,0.6,0.5783132530120482,0.60875,0,80
2,4,0.4875,0.0,0.4875,0.0,0.0,0.0,0.5,0.4936708860759494,0.975,0.6554621848739496,0.5,0,80
2,5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0,80
3,1,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.6056250000000001,0,80
3,2,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5390625,0,80
3,3,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.515625,0,80
3,4,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4884375,0,80
3,5,0.7125,0.0,0.7125,0.0,0.0,0.0,0.5,0.7741935483870968,0.6,0.676056338028169,0.779375,0,80
4,1,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.548125,0,80
4,2,0.6125,0.0,0.6125,0.0,0.0,0.0,0.5,0.6,0.675,0.6352941176470588,0.655,0,80
4,3,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3934375,0,80
4,4,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.288125,0,80
4,5,0.5375,0.0,0.5375,0.0,0.0,0.0,0.5,0.5205479452054794,0.95,0.672566371681416,0.61375,0,80
5,1,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.505625,0,80
5,2,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.5865625,0,80
5,3,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.4528125,0,80
5,4,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4871875,0,80
5,5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4834375,0,80
