repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.494375,0.0,0.0,0.0,0.5,80,0
1,2,0.5875,0.5875,0.0,0.5813953488372093,0.625,0.6024096385542169,0.63875,0.0,0.0,0.0,0.5,80,0
1,3,0.5375,0.5375,0.0,0.5454545454545454,0.45,0.4931506849315068,0.541875,0.0,0.0,0.0,0.5,80,0
1,4,0.5,0.5,0.0,0.0,0.0,0.0,0.6268750000000001,0.0,0.0,0.0,0.5,80,0
1,5,0.5,0.5,0.0,0.0,0.0,0.0,0.6125,0.0,0.0,0.0,0.5,80,0
2,1,0.5875,0.5875,0.0,0.5777777777777777,0.65,0.611764705882353,0.671875,0.0,0.0,0.0,0.5,80,0
2,2,0.5875,0.5875,0.0,0.6296296296296297,0.425,0.5074626865671642,0.64625,0.0,0.0,0.0,0.5,80,0
2,3,0.55,0.55,0.0,0.5434782608695652,0.625,0.5813953488372093,0.5175000000000001,0.0,0.0,0.0,0.5,80,0
2,4,0.5375,0.5375,0.0,0.5428571428571428,0.475,0.5066666666666667,0.59875,0.0,0.0,0.0,0.5,80,0
2,5,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.59125,0.0,0.0,0.0,0.5,80,0
3,1,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.6725,0.0,0.0,0.0,0.5,80,0
3,2,0.55,0.55,0.0,0.5454545454545454,0.6,0.5714285714285714,0.6387499999999999,0.0,0.0,0.0,0.5,80,0
3,3,0.6125,0.6125,0.0,0.6216216216216216,0.575,0.5974025974025974,0.6837500000000001,0.0,0.0,0.0,0.5,80,0
3,4,0.5,0.5,0.0,0.0,0.0,0.0,0.590625,0.0,0.0,0.0,0.5,80,0
3,5,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.5331250000000001,0.0,0.0,0.0,0.5,80,0
4,1,0.5125,0.5125,0.0,0.5087719298245614,0.725,0.5979381443298969,0.525625,0.0,0.0,0.0,0.5,80,0
4,2,0.5875,0.5875,0.0,0.5714285714285714,0.7,0.6292134831460674,0.6387499999999999,0.0,0.0,0.0,0.5,80,0
4,3,0.4875,0.4875,0.0,0.0,0.0,0.0,0.5956250000000001,0.0,0.0,0.0,0.5,80,0
4,4,0.6375,0.6375,0.0,0.6037735849056604,0.8,0.6881720430107527,0.65875,0.0,0.0,0.0,0.5,80,0
4,5,0.5625,0.5625,0.0,0.631578947368421,0.3,0.4067796610169492,0.631875,0.0,0.0,0.0,0.5,80,0
5,1,0.4875,0.4875,0.0,0.0,0.0,0.0,0.41187500000000005,0.0,0.0,0.0,0.5,80,0
5,2,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.653125,0.0,0.0,0.0,0.5,80,0
5,3,0.6125,0.6125,0.0,0.6451612903225806,0.5,0.5633802816901409,0.6387499999999999,0.0,0.0,0.0,0.5,80,0
5,4,0.5,0.5,0.0,0.0,0.0,0.0,0.55875,0.0,0.0,0.0,0.5,80,0
5,5,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.42375000000000007,0.0,0.0,0.0,0.5,80,0
