repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5947075208913649,0.5864779874213837,0.6585365853658537,0.6962025316455697,0.3384615384615385,0.45548654244306425,0.6209250556517437,0.59375,0.5588235294117647,0.5757575757575757,0.6629901960784315,636,82
1,2,0.5766016713091922,0.5791925465838509,0.5540540540540541,0.6558441558441559,0.3166144200626959,0.427061310782241,0.653484446587895,0.6129032258064516,0.475,0.5352112676056339,0.625,644,74
1,3,0.6281337047353761,0.6188197767145136,0.6923076923076923,0.7076023391812866,0.3903225806451613,0.5031185031185031,0.6811030833418135,0.7441860465116279,0.6530612244897959,0.6956521739130435,0.7405247813411079,627,91
1,4,0.606694560669456,0.6043956043956044,0.625,0.6732673267326733,0.422360248447205,0.5190839694656488,0.6503795721187026,0.5853658536585366,0.6486486486486487,0.6153846153846153,0.6813324952859836,637,80
1,5,0.5788005578800558,0.5683229813664596,0.6712328767123288,0.6408450704225352,0.2861635220125786,0.39565217391304347,0.6145290735810472,0.7105263157894737,0.675,0.6923076923076923,0.7553030303030303,644,73
2,1,0.6239554317548747,0.6216216216216216,0.6404494382022472,0.7643312101910829,0.37383177570093457,0.502092050209205,0.6752639883481005,0.5714285714285714,0.631578947368421,0.6,0.7414860681114551,629,89
2,2,0.5919220055710307,0.5944272445820433,0.5694444444444444,0.6045627376425855,0.501577287066246,0.5482758620689655,0.6221414668290298,0.6486486486486487,0.5714285714285714,0.6075949367088608,0.6150793650793651,646,72
2,3,0.6155988857938719,0.608424336973479,0.6753246753246753,0.6060606060606061,0.6707317073170732,0.6367583212735167,0.6643224499337644,0.575,0.7419354838709677,0.6478873239436619,0.7159887798036465,641,77
2,4,0.6429567642956764,0.6430817610062893,0.6419753086419753,0.6812227074235808,0.5032258064516129,0.5788497217068646,0.7007520284979221,0.7380952380952381,0.6326530612244898,0.6813186813186813,0.7608418367346939,636,81
2,5,0.602510460251046,0.5990566037735849,0.6296296296296297,0.6551724137931034,0.41823899371069184,0.5105566218809982,0.6315909180807722,0.6388888888888888,0.575,0.6052631578947367,0.6658536585365853,636,81
3,1,0.5571030640668524,0.5518867924528302,0.5975609756097561,0.6966292134831461,0.19375,0.30317848410757947,0.6580597310126581,0.5882352941176471,0.5128205128205128,0.547945205479452,0.6797853309481217,636,82
3,2,0.5668523676880223,0.555379746835443,0.6511627906976745,0.5738636363636364,0.3289902280130293,0.4182194616977225,0.6182711099974945,0.75,0.6346153846153846,0.6875,0.7092760180995475,632,86
3,3,0.584958217270195,0.5904173106646059,0.5352112676056338,0.659217877094972,0.36645962732919257,0.47105788423153694,0.6366172957477305,0.5769230769230769,0.40540540540540543,0.47619047619047616,0.6764705882352942,647,71
3,4,0.5718270571827058,0.5620094191522763,0.65,0.7156862745098039,0.2260061919504644,0.34352941176470586,0.6585750626096901,0.6428571428571429,0.5,0.5625000000000001,0.6212121212121212,637,80
3,5,0.6290097629009763,0.6336477987421384,0.5925925925925926,0.7109004739336493,0.4658385093167702,0.5628517823639775,0.6961763658662026,0.5405405405405406,0.5555555555555556,0.547945205479452,0.621604938271605,636,81
4,1,0.6086350974930362,0.6012461059190031,0.6710526315789473,0.6649484536082474,0.403125,0.5019455252918288,0.6371312111801243,0.6842105263157895,0.6666666666666666,0.6753246753246753,0.7435897435897436,642,76
4,2,0.5557103064066853,0.5592417061611374,0.5294117647058824,0.7564102564102564,0.18495297805642633,0.29722921914357686,0.6438012898588343,0.5,0.7,0.5833333333333334,0.6038888888888889,633,85
4,3,0.6155988857938719,0.6171875,0.6025641025641025,0.632183908045977,0.5254777070063694,0.5739130434782609,0.6410359110624829,0.71875,0.5111111111111111,0.5974025974025974,0.6747474747474748,640,78
4,4,0.6262203626220363,0.6251944012441679,0.6351351351351351,0.668,0.5138461538461538,0.5808695652173914,0.6515529753265603,0.5897435897435898,0.6764705882352942,0.6301369863013699,0.7529411764705882,643,74
4,5,0.5550906555090656,0.5555555555555556,0.5517241379310345,0.6451612903225806,0.25316455696202533,0.36363636363636365,0.6115455938079497,0.5319148936170213,0.5952380952380952,0.5617977528089887,0.6164021164021164,630,87
5,1,0.6016713091922006,0.6078740157480315,0.5542168674698795,0.6545454545454545,0.45425867507886436,0.5363128491620112,0.6362617304525525,0.5490196078431373,0.6666666666666666,0.6021505376344086,0.6521486643437863,635,83
5,2,0.5724233983286909,0.5690184049079755,0.6060606060606061,0.6153846153846154,0.36809815950920244,0.46065259117082535,0.6121231510406866,0.6296296296296297,0.5151515151515151,0.5666666666666667,0.7337006427915519,652,66
5,3,0.6128133704735376,0.606687898089172,0.6555555555555556,0.6633165829145728,0.4230769230769231,0.5166340508806262,0.650336741317754,0.6818181818181818,0.6382978723404256,0.6593406593406593,0.6823354774863929,628,90
5,4,0.596931659693166,0.5959119496855346,0.6049382716049383,0.5911764705882353,0.6300940438871473,0.6100151745068285,0.6360966347912939,0.5769230769230769,0.75,0.6521739130434783,0.6420731707317073,636,81
5,5,0.5732217573221757,0.5729984301412873,0.575,0.7448979591836735,0.228125,0.3492822966507177,0.6534207413249212,0.5476190476190477,0.6052631578947368,0.575,0.6635338345864662,637,80
