repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6101449275362318,0.6707317073170732,0.6019736842105263,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.7735507246376812,0.708029197080292,0.32441471571906355,0.444954128440367,0.7231332056152655,82,608
1,2,0.6043478260869565,0.6179775280898876,0.6023294509151415,0.5490196078431373,0.717948717948718,0.6222222222222223,0.6174358974358974,0.5655577299412916,0.9444444444444444,0.7074663402692779,0.7176027473136146,89,601
1,3,0.6478260869565218,0.6419753086419753,0.6486042692939245,0.7058823529411765,0.5581395348837209,0.6233766233766234,0.7515299877600979,0.6692307692307692,0.5761589403973509,0.6192170818505337,0.7074120413314063,81,609
1,4,0.5994194484760522,0.6164383561643836,0.5974025974025974,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6682027649769584,0.7410714285714286,0.27483443708609273,0.40096618357487923,0.7123001645083731,73,616
1,5,0.6545718432510885,0.68,0.6514657980456026,0.5833333333333334,0.7,0.6363636363636365,0.7481481481481482,0.6498516320474778,0.6952380952380952,0.6717791411042945,0.7063120454424803,75,614
2,1,0.644927536231884,0.5671641791044776,0.6532905296950241,0.4375,0.56,0.4912280701754386,0.5857142857142857,0.6101694915254238,0.9,0.7272727272727273,0.7412025577557757,67,623
2,2,0.6681159420289855,0.6125,0.6754098360655738,0.7931034482758621,0.4791666666666667,0.5974025974025974,0.6555989583333334,0.7564766839378239,0.49158249158249157,0.5959183673469388,0.7379331117350286,80,610
2,3,0.6507246376811594,0.6790123456790124,0.6469622331691297,0.7352941176470589,0.5952380952380952,0.6578947368421053,0.7515262515262515,0.6981981981981982,0.5115511551155115,0.5904761904761905,0.7072520977587955,81,609
2,4,0.6269956458635704,0.5714285714285714,0.6347107438016529,0.5555555555555556,0.6097560975609756,0.5813953488372093,0.636415201361316,0.6205882352941177,0.6963696369636964,0.656298600311042,0.6924901099381461,84,605
2,5,0.6269956458635704,0.6022727272727273,0.6306156405990017,0.6285714285714286,0.5,0.5569620253164557,0.696797520661157,0.6820276497695853,0.49169435215946844,0.5714285714285714,0.7011960132890367,88,601
3,1,0.6130434782608696,0.6458333333333334,0.6077441077441077,0.6585365853658537,0.574468085106383,0.6136363636363638,0.6712983065566652,0.6923076923076923,0.3926174496644295,0.5010706638115632,0.6861735896970795,96,594
3,2,0.6231884057971014,0.6363636363636364,0.6212624584717608,0.6428571428571429,0.6136363636363636,0.6279069767441862,0.6647727272727273,0.6607929515418502,0.4983388704318937,0.5681818181818182,0.7070893257248816,88,602
3,3,0.6347826086956522,0.5285714285714286,0.646774193548387,0.6,0.525,0.56,0.585,0.5914893617021276,0.9114754098360656,0.7174193548387097,0.7421805880822274,70,620
3,4,0.6052249637155298,0.625,0.6023294509151415,0.5714285714285714,0.5263157894736842,0.547945205479452,0.6831578947368421,0.7410071942446043,0.3366013071895425,0.46292134831460674,0.7084413426387504,88,601
3,5,0.6705370101596516,0.7413793103448276,0.6640253565768621,0.7666666666666667,0.7419354838709677,0.7540983606557377,0.8160095579450418,0.6526946107784432,0.6942675159235668,0.6728395061728395,0.7436657356989291,58,631
4,1,0.6376811594202898,0.5952380952380952,0.6435643564356436,0.6666666666666666,0.6122448979591837,0.6382978723404255,0.6052478134110787,0.6526717557251909,0.5777027027027027,0.6129032258064516,0.7107890148212728,84,606
4,2,0.618840579710145,0.6136363636363636,0.6196013289036545,0.575,0.575,0.575,0.6588541666666666,0.6055555555555555,0.7147540983606557,0.6556390977443608,0.6804879395043331,88,602
4,3,0.6739130434782609,0.7142857142857143,0.6693548387096774,0.6904761904761905,0.8055555555555556,0.7435897435897436,0.7344771241830066,0.6635220125786163,0.6828478964401294,0.6730462519936204,0.7372397215371648,70,620
4,4,0.6502177068214804,0.5833333333333334,0.6580226904376013,0.6285714285714286,0.5641025641025641,0.5945945945945945,0.6114996114996115,0.6320224719101124,0.7377049180327869,0.680786686838124,0.7371059268600253,72,617
4,5,0.6560232220609579,0.6627906976744186,0.6550580431177446,0.5777777777777777,0.7222222222222222,0.6419753086419753,0.6433333333333334,0.6278481012658228,0.8025889967637541,0.7045454545454545,0.7398234374656011,86,603
5,1,0.6739130434782609,0.6551724137931034,0.6766169154228856,0.6595744680851063,0.6888888888888889,0.6739130434782609,0.7015873015873015,0.655786350148368,0.7366666666666667,0.6938775510204082,0.7332893289328932,87,603
5,2,0.6971014492753623,0.6666666666666666,0.7014925373134329,0.7551020408163265,0.6851851851851852,0.7184466019417475,0.7676767676767677,0.7003610108303249,0.6666666666666666,0.6830985915492956,0.7662238963785355,87,603
5,3,0.6202898550724638,0.5866666666666667,0.624390243902439,0.5121951219512195,0.65625,0.5753424657534246,0.6838662790697674,0.6051282051282051,0.7539936102236422,0.6714082503556187,0.6814315638025517,75,615
5,4,0.621190130624093,0.6666666666666666,0.6151315789473685,0.6451612903225806,0.5555555555555556,0.5970149253731343,0.6802469135802469,0.64453125,0.5357142857142857,0.5851063829787234,0.6928354978354978,81,608
5,5,0.6153846153846154,0.5714285714285714,0.6203554119547657,0.5405405405405406,0.6060606060606061,0.5714285714285714,0.6314496314496314,0.6934673366834171,0.4423076923076923,0.5401174168297457,0.7246304184414933,70,619
