repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.616991643454039,0.6179245283018868,0.6097560975609756,0.596244131455399,0.7815384615384615,0.6764314247669774,0.6913282216176108,0.5227272727272727,0.6764705882352942,0.5897435897435898,0.6819852941176471,636,82
1,2,0.6476323119777159,0.6521739130434783,0.6081081081081081,0.7056277056277056,0.5109717868338558,0.5927272727272728,0.7122160598022667,0.7619047619047619,0.4,0.5245901639344263,0.7757352941176471,644,74
1,3,0.5,0.5055821371610846,0.46153846153846156,0.0,0.0,0.0,0.6313931006410908,0.0,0.0,0.0,0.5626822157434402,627,91
1,4,0.596931659693166,0.5934065934065934,0.625,0.68,0.3695652173913043,0.4788732394366197,0.6711623779946762,0.64,0.43243243243243246,0.5161290322580645,0.6423632935260842,637,80
1,5,0.6331938633193863,0.6381987577639752,0.589041095890411,0.6291793313069909,0.6509433962264151,0.6398763523956723,0.6918817764401743,0.6470588235294118,0.55,0.5945945945945946,0.6318181818181818,644,73
2,1,0.6908077994428969,0.6899841017488076,0.6966292134831461,0.71,0.6635514018691588,0.6859903381642513,0.7268378039406076,0.6774193548387096,0.5526315789473685,0.6086956521739131,0.7528379772961816,629,89
2,2,0.6573816155988857,0.6563467492260062,0.6666666666666666,0.6666666666666666,0.5993690851735016,0.6312292358803987,0.7002099853297921,0.725,0.6904761904761905,0.7073170731707317,0.6825396825396826,646,72
2,3,0.6448467966573816,0.6536661466458659,0.5714285714285714,0.6906474820143885,0.5853658536585366,0.6336633663366337,0.7009759993766072,0.4782608695652174,0.7096774193548387,0.5714285714285714,0.6009817671809258,641,77
2,4,0.6652719665271967,0.6682389937106918,0.6419753086419753,0.6477611940298508,0.7,0.6728682170542636,0.7380269147041362,0.7083333333333334,0.6938775510204082,0.7010309278350515,0.7429846938775511,636,81
2,5,0.6485355648535565,0.6588050314465409,0.5679012345679012,0.628498727735369,0.7767295597484277,0.6947960618846695,0.7140144772754242,0.5714285714285714,0.5,0.5333333333333333,0.6115853658536585,636,81
3,1,0.6448467966573816,0.6525157232704403,0.5853658536585366,0.6265984654731458,0.765625,0.6891701828410689,0.7185225474683545,0.5581395348837209,0.6153846153846154,0.5853658536585366,0.654144305307096,636,82
3,2,0.6211699164345403,0.629746835443038,0.5581395348837209,0.6346863468634686,0.5602605863192183,0.5951557093425606,0.6715409671761463,0.71875,0.4423076923076923,0.5476190476190477,0.6578054298642534,632,86
3,3,0.6114206128133705,0.6089644513137558,0.6338028169014085,0.5771812080536913,0.8012422360248447,0.6710013003901171,0.6736072623029143,0.6341463414634146,0.7027027027027027,0.6666666666666666,0.7082670906200319,647,71
3,4,0.6415620641562064,0.6514913657770801,0.5625,0.6446991404011462,0.6965944272445821,0.6696428571428571,0.6963873715761866,0.5094339622641509,0.75,0.6067415730337079,0.61489898989899,637,80
3,5,0.6820083682008368,0.6745283018867925,0.7407407407407407,0.6426799007444168,0.8043478260869565,0.7144827586206897,0.7547375084068519,0.6595744680851063,0.8611111111111112,0.7469879518072289,0.7993827160493827,636,81
4,1,0.5,0.5015576323987538,0.4868421052631579,0.0,0.0,0.0,0.6345302795031057,0.0,0.0,0.0,0.616077616077616,642,76
4,2,0.6545961002785515,0.6540284360189573,0.6588235294117647,0.6412429378531074,0.7115987460815048,0.674591381872214,0.7020745562366473,0.6,0.825,0.6947368421052632,0.7338888888888888,633,85
4,3,0.6267409470752089,0.6296875,0.6025641025641025,0.6370106761565836,0.5700636942675159,0.6016806722689075,0.6915126411629088,0.675,0.6,0.6352941176470588,0.6417508417508417,640,78
4,4,0.6387726638772664,0.6329704510108864,0.6891891891891891,0.6186666666666667,0.7138461538461538,0.6628571428571428,0.7099080793420416,0.6222222222222222,0.8235294117647058,0.7088607594936709,0.7522058823529412,643,74
4,5,0.6220362622036262,0.6142857142857143,0.6781609195402298,0.6763285024154589,0.4430379746835443,0.5353728489483748,0.6945698621301298,0.75,0.5,0.6,0.7507936507936507,630,87
5,1,0.5,0.5007874015748032,0.4939759036144578,0.0,0.0,0.0,0.562114358272325,0.0,0.0,0.0,0.6910569105691057,635,83
5,2,0.5,0.5,0.5,0.0,0.0,0.0,0.5734032142722723,0.0,0.0,0.0,0.5234159779614325,652,66
5,3,0.637883008356546,0.6528662420382165,0.5333333333333333,0.6793893129770993,0.5705128205128205,0.6202090592334495,0.6931495456020773,0.5675675675675675,0.44680851063829785,0.5,0.5853537852548243,628,90
5,4,0.6290097629009763,0.6352201257861635,0.5802469135802469,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.7174134469902989,0.6363636363636364,0.35,0.45161290322580644,0.624390243902439,636,81
5,5,0.499302649930265,0.5023547880690737,0.475,0.5023547880690737,1.0,0.6687565308254964,0.4160291798107255,0.475,1.0,0.6440677966101694,0.48527568922305764,637,80
