repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6086350974930362,0.5833333333333334,0.8048780487804879,0.5802139037433155,0.6676923076923077,0.6208869814020028,0.6129507791244126,0.8,0.7058823529411765,0.7500000000000001,0.789828431372549,636,82
1,2,0.6016713091922006,0.5854037267080745,0.7432432432432432,0.5844155844155844,0.5642633228840125,0.5741626794258372,0.6220882565710152,0.7692307692307693,0.75,0.7594936708860761,0.8588235294117648,644,74
1,3,0.5919220055710307,0.5869218500797448,0.6263736263736264,0.5597189695550351,0.7709677419354839,0.6485753052917231,0.6547776534038872,0.6829268292682927,0.5714285714285714,0.6222222222222223,0.6360544217687075,627,91
1,4,0.5299860529986054,0.5196232339089482,0.6125,0.5134680134680135,0.9472049689440993,0.665938864628821,0.5998669032830524,0.575,0.6216216216216216,0.5974025974025973,0.6643620364550598,637,80
1,5,0.6080892608089261,0.6024844720496895,0.6575342465753424,0.5875706214689266,0.6540880503144654,0.6190476190476191,0.6212042288845159,0.7777777777777778,0.525,0.6268656716417911,0.7628787878787878,644,73
2,1,0.5919220055710307,0.5834658187599364,0.651685393258427,0.5700712589073634,0.7476635514018691,0.6469002695417789,0.6219909374114982,0.5945945945945946,0.5789473684210527,0.5866666666666667,0.7337461300309598,629,89
2,2,0.5947075208913649,0.5975232198142415,0.5694444444444444,0.5887850467289719,0.5962145110410094,0.5924764890282131,0.6140297047740501,0.6666666666666666,0.5238095238095238,0.5866666666666667,0.6468253968253969,646,72
2,3,0.6267409470752089,0.609984399375975,0.7662337662337663,0.6133720930232558,0.6432926829268293,0.6279761904761905,0.6464875711057431,0.696969696969697,0.7419354838709677,0.71875,0.7805049088359046,641,77
2,4,0.5983263598326359,0.5833333333333334,0.7160493827160493,0.543859649122807,0.9,0.6780072904009721,0.6535177122501483,0.782608695652174,0.7346938775510204,0.7578947368421053,0.7863520408163265,636,81
2,5,0.5857740585774058,0.5754716981132075,0.6666666666666666,0.5625,0.6792452830188679,0.6153846153846154,0.6056326885803568,0.6666666666666666,0.65,0.6582278481012659,0.75,636,81
3,1,0.5682451253481894,0.5676100628930818,0.573170731707317,0.6153846153846154,0.375,0.46601941747572817,0.6191554588607595,0.5769230769230769,0.38461538461538464,0.46153846153846156,0.6833631484794276,636,82
3,2,0.5682451253481894,0.5490506329113924,0.7093023255813954,0.5276381909547738,0.6840390879478827,0.5957446808510638,0.5995289401152593,0.7647058823529411,0.75,0.7572815533980582,0.8014705882352942,632,86
3,3,0.6030640668523677,0.5873261205564142,0.7464788732394366,0.5718015665796344,0.6801242236024845,0.621276595744681,0.6227233635929288,0.7878787878787878,0.7027027027027027,0.7428571428571429,0.7718600953895073,647,71
3,4,0.6094839609483961,0.5965463108320251,0.7125,0.5753424657534246,0.7801857585139319,0.6622864651773982,0.6496371595906214,0.6326530612244898,0.8611111111111112,0.7294117647058823,0.8295454545454546,637,80
3,5,0.5606694560669456,0.5691823899371069,0.49382716049382713,0.5422535211267606,0.9565217391304348,0.6921348314606741,0.6668908493887724,0.46153846153846156,0.8333333333333334,0.594059405940594,0.6790123456790125,636,81
4,1,0.5821727019498606,0.5794392523364486,0.6052631578947368,0.5565610859728507,0.76875,0.6456692913385828,0.6382424301242235,0.7142857142857143,0.38461538461538464,0.5,0.6756756756756757,642,76
4,2,0.5696378830083565,0.5576619273301737,0.6588235294117647,0.5417558886509636,0.7931034482758621,0.643765903307888,0.5890721402471897,0.627906976744186,0.675,0.6506024096385542,0.705,633,85
4,3,0.6142061281337048,0.6171875,0.5897435897435898,0.6236559139784946,0.554140127388535,0.5868465430016864,0.6650287210347389,0.9333333333333333,0.3111111111111111,0.4666666666666667,0.8047138047138048,640,78
4,4,0.5829846582984658,0.5598755832037325,0.7837837837837838,0.5428571428571428,0.8184615384615385,0.652760736196319,0.5972714078374456,0.78125,0.7352941176470589,0.7575757575757576,0.8397058823529412,643,74
4,5,0.602510460251046,0.5984126984126984,0.632183908045977,0.6551724137931034,0.4208860759493671,0.51252408477842,0.6608884947190197,0.6666666666666666,0.47619047619047616,0.5555555555555556,0.7068783068783069,630,87
5,1,0.5654596100278552,0.5574803149606299,0.6265060240963856,0.5432692307692307,0.7129337539432177,0.6166439290586629,0.6169325238577068,0.6410256410256411,0.5952380952380952,0.617283950617284,0.7450638792102207,635,83
5,2,0.5947075208913648,0.5858895705521472,0.6818181818181818,0.5838323353293413,0.598159509202454,0.5909090909090909,0.6281098272422748,0.7727272727272727,0.5151515151515151,0.6181818181818182,0.8034894398530762,652,66
5,3,0.5445682451253483,0.5366242038216561,0.6,0.5219206680584552,0.8012820512820513,0.6321112515802781,0.6180014605647517,0.6122448979591837,0.6382978723404256,0.625,0.6595744680851064,628,90
5,4,0.602510460251046,0.5927672955974843,0.6790123456790124,0.5742574257425742,0.7272727272727273,0.6417704011065007,0.6522848412329538,0.675,0.675,0.675,0.7329268292682927,636,81
5,5,0.6248256624825663,0.6185243328100472,0.675,0.6441947565543071,0.5375,0.58603066439523,0.6600157728706624,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.6973684210526315,637,80
