repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.8,0.5853658536585366,0.8289473684210527,0.62,0.6739130434782609,0.6458333333333334,0.6328502415458938,0.7859237536656891,0.8963210702341137,0.8375,0.896532129752898,82,608
1,2,0.763768115942029,0.5168539325842697,0.800332778702163,0.46551724137931033,0.6923076923076923,0.5567010309278351,0.5907692307692307,0.7687861271676301,0.869281045751634,0.8159509202453987,0.8502824858757062,89,601
1,3,0.782608695652174,0.5555555555555556,0.812807881773399,0.6,0.4883720930232558,0.5384615384615384,0.580171358629131,0.79375,0.8410596026490066,0.8167202572347267,0.8679811031775138,81,609
1,4,0.7808417997097242,0.6986301369863014,0.7905844155844156,0.717391304347826,0.7857142857142857,0.75,0.6781874039938556,0.7551622418879056,0.847682119205298,0.7987519500780031,0.8664107647530266,73,616
1,5,0.7576197387518142,0.5066666666666667,0.7882736156351792,0.42857142857142855,0.7,0.5316455696202531,0.6066666666666667,0.7696793002915452,0.8380952380952381,0.8024316109422492,0.8741413176195785,75,614
2,1,0.8260869565217391,0.582089552238806,0.8523274478330658,0.45454545454545453,0.6,0.5172413793103449,0.6333333333333334,0.8333333333333334,0.890625,0.8610271903323263,0.8916357260726072,67,623
2,2,0.7927536231884058,0.55,0.8245901639344262,0.6666666666666666,0.5,0.5714285714285714,0.6015625,0.8104575163398693,0.835016835016835,0.8225538971807629,0.8611675864072031,80,610
2,3,0.7753623188405797,0.5061728395061729,0.8111658456486043,0.5263157894736842,0.47619047619047616,0.5,0.5757020757020757,0.7625698324022346,0.900990099009901,0.8260211800302572,0.8727431566686081,81,609
2,4,0.7968069666182874,0.5,0.8380165289256198,0.48936170212765956,0.5609756097560976,0.5227272727272727,0.5660805445263755,0.7871148459383753,0.9273927392739274,0.8515151515151516,0.901460013551024,84,605
2,5,0.7779390420899854,0.5113636363636364,0.8169717138103162,0.5128205128205128,0.45454545454545453,0.4819277108433735,0.5418388429752066,0.8374558303886925,0.7873754152823921,0.8116438356164384,0.8851827242524918,88,601
3,1,0.7782608695652173,0.6145833333333334,0.8047138047138047,0.6086956521739131,0.5957446808510638,0.6021505376344086,0.6530612244897959,0.8204225352112676,0.7818791946308725,0.8006872852233677,0.870442590241248,96,594
3,2,0.7681159420289855,0.6136363636363636,0.7906976744186046,0.6666666666666666,0.45454545454545453,0.5405405405405406,0.6203512396694215,0.7850162866449512,0.8006644518272426,0.7927631578947368,0.8523857352567854,88,602
3,3,0.8014492753623188,0.5714285714285714,0.8274193548387097,0.6666666666666666,0.5,0.5714285714285714,0.5358333333333333,0.8235294117647058,0.8262295081967214,0.8248772504091653,0.8766692688004163,70,620
3,4,0.49927431059506533,0.4318181818181818,0.5091514143094842,0.4318181818181818,1.0,0.6031746031746031,0.606578947368421,0.5091514143094842,1.0,0.6747519294377067,0.6441674975074776,88,601
3,5,0.7677793904208998,0.4482758620689655,0.7971473851030111,0.48484848484848486,0.5161290322580645,0.5,0.49581839904420555,0.8,0.7898089171974523,0.7948717948717948,0.8503184713375798,58,631
4,1,0.7927536231884058,0.5357142857142857,0.8283828382838284,0.631578947368421,0.4897959183673469,0.5517241379310345,0.5556851311953352,0.7909090909090909,0.8817567567567568,0.8338658146964856,0.90147122929381,84,606
4,2,0.7811594202898551,0.5795454545454546,0.8106312292358804,0.5319148936170213,0.625,0.5747126436781609,0.5869791666666666,0.7675070028011205,0.898360655737705,0.8277945619335347,0.8946072749351438,88,602
4,3,0.7666666666666667,0.5,0.7967741935483871,0.5142857142857142,0.5,0.5070422535211268,0.49183006535947715,0.7683284457478006,0.8478964401294499,0.8061538461538461,0.8560026639194996,70,620
4,4,0.7866473149492017,0.625,0.8055105348460292,0.7142857142857143,0.5128205128205128,0.5970149253731343,0.717948717948718,0.8178694158075601,0.780327868852459,0.7986577181208053,0.8737599831862126,72,617
4,5,0.7851959361393324,0.5697674418604651,0.8159203980099502,0.4888888888888889,0.6111111111111112,0.5432098765432098,0.6333333333333333,0.8193548387096774,0.8220064724919094,0.8206785137318255,0.8747881029434427,86,603
5,1,0.7782608695652173,0.5862068965517241,0.8059701492537313,0.5918367346938775,0.6444444444444445,0.6170212765957447,0.6571428571428571,0.7667638483965015,0.8766666666666667,0.8180404354587869,0.8984708470847086,87,603
5,2,0.7608695652173914,0.5977011494252874,0.7844112769485904,0.7209302325581395,0.5740740740740741,0.6391752577319587,0.6156004489337822,0.7319884726224783,0.872852233676976,0.7962382445141066,0.886465767909067,87,603
5,3,0.7884057971014493,0.52,0.8211382113821138,0.4375,0.4375,0.4375,0.5443313953488371,0.834983498349835,0.8083067092651757,0.8214285714285714,0.8795781054947844,75,615
5,4,0.7460087082728593,0.5679012345679012,0.7697368421052632,0.5294117647058824,0.25,0.33962264150943394,0.5648148148148148,0.8333333333333334,0.6818181818181818,0.75,0.8481709956709956,81,608
5,5,0.7939042089985486,0.5428571428571428,0.8222940226171244,0.5185185185185185,0.42424242424242425,0.4666666666666667,0.5298935298935299,0.8098159509202454,0.8461538461538461,0.8275862068965517,0.8621586068654472,70,619
