metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.5892426273198059,0.6124376949763599,-0.023195067656554116,-1.7510435431925857,0.09271160285050103,-0.35020870863851716,small,False
p3_accuracy,25,0.5800449312652609,0.6150132768531442,-0.034968345587883344,-2.605198774279604,0.015520875906937563,-0.5210397548559209,medium,True
avo_accuracy,25,0.6632808971914984,0.5926691880226843,0.07061170916881424,3.2828047869142245,0.003140890946027089,0.656560957382845,medium,True
p3_precision,25,0.5729548944775578,0.5419899559518377,0.030964938525720114,0.6334868807166083,0.5324068641130923,0.12669737614332166,negligible,False
p3_recall,25,0.6951596984451772,0.5491883872820903,0.14597131116308698,2.261032330983818,0.033100685890673526,0.45220646619676363,small,True
p3_f1,25,0.6174340076403991,0.5345972603418077,0.0828367472985914,1.6497650939709483,0.11201974974752599,0.32995301879418965,small,False
p3_auc,25,0.6294531930667195,0.6755019014950149,-0.04604870842829536,-2.9887662576999277,0.0063735052845952395,-0.5977532515399854,medium,True
avo_precision,25,0.6997565921127891,0.5255332288070839,0.1742233633057052,3.264610038915232,0.003283200235902813,0.6529220077830464,medium,True
avo_recall,25,0.6134286698322318,0.5248963921750263,0.08853227765720555,1.575063292855114,0.1283333071612225,0.31501265857102284,small,False
avo_f1,25,0.6380367541127782,0.5093926580135772,0.1286440960992008,2.7158476709337016,0.012059954421101516,0.5431695341867403,medium,True
avo_auc,25,0.7418009609125683,0.6609688713834221,0.08083208952914629,4.39021463469099,0.0001958239378282198,0.8780429269381981,large,True
