metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.6253333333333334,0.6164637681159421,0.008869565217391302,0.9732152978149872,0.3401538349241411,0.19464305956299746,negligible,False
p3_accuracy,25,0.614460135319516,0.5555812513079889,0.05887888401152711,4.44689516999841,0.0001695334067260505,0.889379033999682,large,True
avo_accuracy,25,0.626718038548736,0.624372011523835,0.0023460270249008853,0.2393272947244249,0.8128838537098726,0.04786545894488498,negligible,False
p3_precision,25,0.6195569660072457,0.5643794347656556,0.05517753124159015,3.4107734825480165,0.002295961162364057,0.6821546965096033,medium,True
p3_recall,25,0.6030502601268519,0.5455805887143199,0.057469671412531904,2.375347369613255,0.025866091886698073,0.4750694739226511,small,True
p3_f1,25,0.6063897800353899,0.5463099413584067,0.06007983867698335,4.274603009558596,0.00026271700950695706,0.8549206019117193,large,True
p3_auc,25,0.6534809530569953,0.5856292463026763,0.06785170675431909,3.744332828275965,0.0010026730365285373,0.7488665656551932,medium,True
avo_precision,25,0.6175780466734406,0.6325240045395699,-0.01494595786612928,-0.8808318611141731,0.38714483058215077,-0.17616637222283463,negligible,False
avo_recall,25,0.7517457519959437,0.6601385249031655,0.09160722709277812,1.7287580924421726,0.09669792163814724,0.34575161848843455,small,False
avo_f1,25,0.6626826562689458,0.6189804261615808,0.04370223010736526,1.7479562805592654,0.09325533378274281,0.34959125611185304,small,False
avo_auc,25,0.7096575396313165,0.6977182718493543,0.011939267781962056,1.7267232522948592,0.09706906395507231,0.34534465045897184,small,False
