Dataset,Classifier,Electrode Set,Subject Classification,Use Subject Layer,Mean Accuracy (%),95% CI
P3,ShallowFBCSPNet,Common,Separate,No,95.6,"[94.5, 96.7]"
P3,ShallowFBCSPNet,All,Separate,No,95.5,"[94.4, 96.6]"
P3,ShallowFBCSPNet,Common,Pooled,Yes,94.8,"[94.0, 95.6]"
P3,ShallowFBCSPNet,Common,Pooled,No,95.9,"[95.1, 96.7]"
P3,ShallowFBCSPNet,All,Pooled,Yes,94.8,"[93.8, 95.9]"
P3,ShallowFBCSPNet,All,Pooled,No,95.9,"[95.1, 96.7]"
P3,LDA,Common,Separate,No,91.4,"[90.3, 92.5]"
P3,LDA,Common,Pooled,No,94.5,"[93.6, 95.4]"
P3,LDA,All,Separate,No,92.2,"[91.1, 93.4]"
P3,LDA,All,Pooled,No,93.8,"[92.8, 94.8]"
AVO,ShallowFBCSPNet,Common,Separate,No,79.2,"[77.6, 80.8]"
AVO,ShallowFBCSPNet,All,Separate,No,80.1,"[78.5, 81.7]"
AVO,ShallowFBCSPNet,Common,Pooled,Yes,77.7,"[76.0, 79.4]"
AVO,ShallowFBCSPNet,Common,Pooled,No,81.5,"[79.9, 83.1]"
AVO,ShallowFBCSPNet,All,Pooled,Yes,78.6,"[77.0, 80.2]"
AVO,ShallowFBCSPNet,All,Pooled,No,81.8,"[80.2, 83.4]"
AVO,LDA,Common,Pooled,No,79.8,"[78.4, 81.2]"
AVO,LDA,All,Pooled,No,79.5,"[78.0, 81.0]"
AVO,LDA,Common,Separate,No,75.7,"[74.1, 77.3]"
AVO,LDA,All,Separate,No,76.4,"[74.8, 78.0]"
Combined,ShallowFBCSPNet,Common,Pooled,Yes,82.8,"[81.1, 84.5]"
Combined,ShallowFBCSPNet,Common,Pooled,No,85.5,"[83.8, 87.2]"
Combined,LDA,Common,Pooled,No,84.8,"[83.4, 86.3]"
