repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6550724637681159,0.6206896551724138,0.6600331674958541,0.6382978723404256,0.6521739130434783,0.6451612903225806,0.6314952279957582,0.6459627329192547,0.6956521739130435,0.6698872785829308,0.7194155958458018,87,603
1,2,0.6115942028985507,0.5617977528089888,0.6189683860232945,0.5,0.5641025641025641,0.5301204819277109,0.538974358974359,0.7305389221556886,0.39869281045751637,0.5158562367864693,0.7310734463276835,89,601
1,3,0.610144927536232,0.589041095890411,0.6126418152350082,0.625,0.625,0.625,0.6363636363636364,0.5702127659574469,0.8786885245901639,0.6916129032258066,0.7054854981084488,73,617
1,4,0.663768115942029,0.5070422535211268,0.6817447495961227,0.48936170212765956,0.6764705882352942,0.5679012345679013,0.5468998410174881,0.6601123595505618,0.7556270096463023,0.704647676161919,0.7387772998705474,71,619
1,5,0.5985507246376811,0.575,0.601639344262295,0.5897435897435898,0.5609756097560976,0.575,0.5959974984365228,0.5589941972920697,0.9506578947368421,0.7040194884287455,0.7148477812177503,80,610
2,1,0.636231884057971,0.5833333333333334,0.6423948220064725,0.525,0.65625,0.5833333333333334,0.6453125000000001,0.6716417910447762,0.5750798722044729,0.6196213425129088,0.7129838160582412,72,618
2,2,0.6376811594202898,0.5675675675675675,0.6461038961038961,0.6326530612244898,0.6888888888888889,0.6595744680851063,0.5325670498084292,0.6,0.82,0.6929577464788732,0.7364135021097047,74,616
2,3,0.636231884057971,0.5057471264367817,0.6550580431177446,0.5806451612903226,0.375,0.4556962025316456,0.593482905982906,0.6344410876132931,0.7070707070707071,0.6687898089171975,0.7432274817895733,87,603
2,4,0.636231884057971,0.5316455696202531,0.6497545008183306,0.45161290322580644,0.4117647058823529,0.4307692307692308,0.54640522875817,0.6328767123287671,0.7427652733118971,0.6834319526627219,0.7209967845659164,79,611
2,5,0.6304347826086957,0.5909090909090909,0.6362126245847176,0.5531914893617021,0.6341463414634146,0.5909090909090909,0.6190970420342501,0.6217765042979942,0.7138157894736842,0.664624808575804,0.7075238431649593,88,602
3,1,0.6579710144927535,0.6363636363636364,0.6615905245346869,0.6274509803921569,0.6530612244897959,0.64,0.6640816326530612,0.7264150943396226,0.5202702702702703,0.6062992125984252,0.7201557489693083,99,591
3,2,0.6115942028985507,0.5529411764705883,0.6198347107438017,0.5652173913043478,0.5909090909090909,0.5777777777777778,0.6136363636363636,0.585956416464891,0.8039867109634552,0.6778711484593838,0.6814456198636125,85,605
3,3,0.6217391304347826,0.39705882352941174,0.6463022508038585,0.42424242424242425,0.3888888888888889,0.40579710144927533,0.4140625,0.6138107416879796,0.7766990291262136,0.6857142857142857,0.726449331554949,68,622
3,4,0.6304347826086956,0.5657894736842105,0.6384364820846905,0.5483870967741935,0.4722222222222222,0.5074626865671641,0.6243055555555556,0.6095717884130982,0.7831715210355987,0.6855524079320113,0.6996551541195819,76,614
3,5,0.6173913043478262,0.5416666666666666,0.6262135922330098,0.5357142857142857,0.42857142857142855,0.47619047619047616,0.5621621621621622,0.7025641025641025,0.44193548387096776,0.5425742574257426,0.7266652702136572,72,618
4,1,0.6347826086956522,0.5977011494252874,0.6401326699834162,0.6521739130434783,0.6122448979591837,0.631578947368421,0.5703544575725026,0.5920745920745921,0.8581081081081081,0.7006896551724139,0.7333832203539044,87,603
4,2,0.6376811594202898,0.5795454545454546,0.6461794019933554,0.5,0.4864864864864865,0.4931506849315069,0.6067832538420773,0.6610169491525424,0.6331168831168831,0.6467661691542289,0.7079909886032334,88,602
4,3,0.6275362318840579,0.6410256410256411,0.6258169934640523,0.6578947368421053,0.625,0.6410256410256411,0.6927631578947367,0.594059405940594,0.7868852459016393,0.6770098730606487,0.7367437389864901,78,612
4,4,0.6869565217391305,0.6857142857142857,0.6870967741935484,0.7,0.7368421052631579,0.717948717948718,0.6710526315789473,0.6902356902356902,0.6677524429967426,0.6788079470198676,0.7453975918660436,70,620
4,5,0.6376811594202898,0.6363636363636364,0.6378466557911908,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6808943089430894,0.7806451612903226,0.39158576051779936,0.521551724137931,0.7612097598364844,77,613
5,1,0.6652173913043479,0.5777777777777777,0.6783333333333333,0.6190476190476191,0.5416666666666666,0.5777777777777778,0.623015873015873,0.6595092024539877,0.7239057239057239,0.6902086677367576,0.7468413508017469,90,600
5,2,0.6217391304347826,0.5675675675675675,0.6282467532467533,0.6551724137931034,0.4634146341463415,0.5428571428571429,0.6164079822616408,0.6506024096385542,0.5328947368421053,0.5858951175406871,0.7012588562753037,74,616
5,3,0.636231884057971,0.6022727272727273,0.6411960132890365,0.6470588235294118,0.4888888888888889,0.5569620253164557,0.6583979328165375,0.6721311475409836,0.5466666666666666,0.6029411764705882,0.7267328918322296,88,602
5,4,0.6405797101449275,0.6582278481012658,0.6382978723404256,0.6,0.6176470588235294,0.608695652173913,0.6287581699346405,0.7678571428571429,0.41479099678456594,0.5386221294363257,0.744951768488746,79,611
5,5,0.5869565217391304,0.5652173913043478,0.5893719806763285,0.52,0.8125,0.6341463414634146,0.5684121621621622,0.5551330798479087,0.9329073482428115,0.6960667461263409,0.73986556574416,69,621
