repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5974930362116991,0.5864779874213837,0.6829268292682927,0.5756097560975609,0.7261538461538461,0.6421768707482992,0.6448083106604008,0.5909090909090909,0.7647058823529411,0.6666666666666667,0.7800245098039216,636,82
1,2,0.6406685236768802,0.6366459627329193,0.6756756756756757,0.6615969581749049,0.5454545454545454,0.5979381443298968,0.6652519893899205,0.7105263157894737,0.675,0.6923076923076923,0.7036764705882352,644,74
1,3,0.6100278551532033,0.6172248803827751,0.5604395604395604,0.5802752293577982,0.8161290322580645,0.67828418230563,0.7062684440826295,0.6046511627906976,0.5306122448979592,0.5652173913043479,0.5913508260447036,627,91
1,4,0.6164574616457462,0.6106750392464678,0.6625,0.6831683168316832,0.42857142857142855,0.5267175572519084,0.6792664892043774,0.6086956521739131,0.7567567567567568,0.674698795180723,0.7177875549968573,637,80
1,5,0.6136680613668062,0.6133540372670807,0.6164383561643836,0.6236559139784946,0.5471698113207547,0.5829145728643216,0.6351333101825056,0.6666666666666666,0.6,0.631578947368421,0.6484848484848484,644,73
2,1,0.6532033426183843,0.6597774244833068,0.6067415730337079,0.6498599439775911,0.7227414330218068,0.6843657817109144,0.7095521301128778,0.5348837209302325,0.6052631578947368,0.5679012345679012,0.6919504643962848,629,89
2,2,0.596100278551532,0.5975232198142415,0.5833333333333334,0.5916398713826366,0.580441640378549,0.5859872611464968,0.6336283355546393,0.7307692307692307,0.4523809523809524,0.5588235294117647,0.6087301587301588,646,72
2,3,0.5974930362116991,0.6021840873634945,0.5584415584415584,0.5983827493261455,0.676829268292683,0.6351931330472104,0.6671764201667576,0.4594594594594595,0.5483870967741935,0.5,0.5946704067321178,641,77
2,4,0.6108786610878661,0.610062893081761,0.6172839506172839,0.6462264150943396,0.44193548387096776,0.524904214559387,0.691965169206412,0.7142857142857143,0.6122448979591837,0.6593406593406593,0.6721938775510203,636,81
2,5,0.596931659693166,0.5974842767295597,0.5925925925925926,0.6581632653061225,0.4056603773584906,0.5019455252918288,0.6554922669198212,0.5945945945945946,0.55,0.5714285714285715,0.6274390243902439,636,81
3,1,0.5947075208913649,0.5990566037735849,0.5609756097560976,0.5768321513002365,0.7625,0.6567967698519515,0.6692246835443039,0.5405405405405406,0.5128205128205128,0.5263157894736842,0.5819916517590937,636,82
3,2,0.6309192200557103,0.6281645569620253,0.6511627906976745,0.6621621621621622,0.4788273615635179,0.5557655954631381,0.6685742921573541,0.7894736842105263,0.5769230769230769,0.6666666666666666,0.6996606334841629,632,86
3,3,0.6197771587743732,0.6228748068006182,0.5915492957746479,0.5965346534653465,0.7484472049689441,0.6639118457300276,0.6782895365504062,0.6052631578947368,0.6216216216216216,0.6133333333333333,0.6391096979332274,647,71
3,4,0.6304044630404463,0.6295133437990581,0.6375,0.6775510204081633,0.5139318885448917,0.5845070422535211,0.6813117469582537,0.6,0.5833333333333334,0.591549295774648,0.6919191919191919,637,80
3,5,0.6192468619246861,0.6305031446540881,0.5308641975308642,0.616,0.717391304347826,0.6628407460545194,0.682863868338806,0.48214285714285715,0.75,0.5869565217391304,0.6469135802469136,636,81
4,1,0.6114206128133705,0.6277258566978193,0.47368421052631576,0.6401384083044983,0.578125,0.6075533661740559,0.6572593167701863,0.48,0.3076923076923077,0.37500000000000006,0.4864864864864865,642,76
4,2,0.584958217270195,0.5924170616113744,0.5294117647058824,0.7046979865771812,0.329153605015674,0.4487179487179487,0.6516382804544456,0.5,0.425,0.45945945945945943,0.6405555555555555,633,85
4,3,0.6128133704735376,0.6125,0.6153846153846154,0.5808823529411765,0.7547770700636943,0.6565096952908588,0.654165526943066,0.7419354838709677,0.5111111111111111,0.6052631578947368,0.6936026936026936,640,78
4,4,0.5829846582984658,0.5754276827371695,0.6486486486486487,0.76,0.23384615384615384,0.35764705882352943,0.6484663763909047,0.6111111111111112,0.6470588235294118,0.6285714285714287,0.6411764705882353,643,74
4,5,0.592747559274756,0.5857142857142857,0.6436781609195402,0.6666666666666666,0.34810126582278483,0.4573804573804574,0.6546400064500524,0.6341463414634146,0.6190476190476191,0.6265060240963854,0.6984126984126984,630,87
5,1,0.628133704735376,0.6204724409448819,0.6867469879518072,0.6241830065359477,0.6025236593059937,0.6131621187800963,0.6594250342241533,0.6818181818181818,0.7142857142857143,0.6976744186046512,0.7439024390243903,635,83
5,2,0.5696378830083566,0.5674846625766872,0.5909090909090909,0.5531400966183575,0.7024539877300614,0.618918918918919,0.6158022507433475,0.6,0.5454545454545454,0.5714285714285713,0.5950413223140496,652,66
5,3,0.6253481894150418,0.6210191082802548,0.6555555555555556,0.6813725490196079,0.44551282051282054,0.5387596899224807,0.6769311911716975,0.75,0.5106382978723404,0.6075949367088608,0.7328055418109847,628,90
5,4,0.6234309623430963,0.6132075471698113,0.7037037037037037,0.6220735785953178,0.5830721003134797,0.6019417475728155,0.665466807748979,0.7222222222222222,0.65,0.6842105263157895,0.7341463414634146,636,81
5,5,0.603905160390516,0.6106750392464678,0.55,0.6267605633802817,0.55625,0.5894039735099338,0.6715398264984227,0.5294117647058824,0.47368421052631576,0.5,0.5883458646616541,637,80
