repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5626740947075209,0.559748427672956,0.5853658536585366,0.631578947368421,0.3323076923076923,0.43548387096774194,0.6035320306702943,0.5,0.35294117647058826,0.41379310344827586,0.6115196078431373,636,82
1,2,0.616991643454039,0.6133540372670807,0.6486486486486487,0.6215277777777778,0.5611285266457681,0.5897858319604613,0.664875813841331,0.7333333333333333,0.55,0.6285714285714286,0.7125,644,74
1,3,0.6058495821727019,0.6076555023923444,0.5934065934065934,0.6142857142857143,0.5548387096774193,0.5830508474576271,0.6608425765747431,0.6428571428571429,0.5510204081632653,0.5934065934065934,0.6122448979591837,627,91
1,4,0.6206415620641562,0.6106750392464678,0.7,0.6088235294117647,0.6428571428571429,0.6253776435045317,0.6664694863452627,0.6666666666666666,0.7027027027027027,0.6842105263157895,0.7259585166561912,637,80
1,5,0.5871687587168759,0.5885093167701864,0.5753424657534246,0.5898305084745763,0.5471698113207547,0.5676998368678629,0.634911448084269,0.6666666666666666,0.45,0.5373134328358209,0.6553030303030304,644,73
2,1,0.6476323119777159,0.643879173290938,0.6741573033707865,0.6221662468513854,0.7694704049844237,0.6880222841225627,0.7012076708338391,0.6097560975609756,0.6578947368421053,0.6329113924050632,0.6867905056759547,629,89
2,2,0.5821727019498607,0.5773993808049536,0.625,0.5916666666666667,0.4479495268138801,0.5098743267504489,0.609388933101934,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6126984126984127,646,72
2,3,0.6002785515320335,0.608424336973479,0.5324675324675324,0.6066481994459834,0.6676829268292683,0.6357039187227866,0.6532182654094912,0.41935483870967744,0.41935483870967744,0.41935483870967744,0.6093969144460027,641,77
2,4,0.599721059972106,0.6022012578616353,0.5802469135802469,0.5707196029776674,0.7419354838709677,0.6451612903225806,0.6513556303186225,0.6923076923076923,0.5510204081632653,0.6136363636363635,0.6575255102040816,636,81
2,5,0.5620641562064156,0.550314465408805,0.654320987654321,0.5941176470588235,0.31761006289308175,0.4139344262295082,0.6161445354218583,0.65,0.65,0.65,0.7310975609756097,636,81
3,1,0.6016713091922006,0.6022012578616353,0.5975609756097561,0.6401673640167364,0.478125,0.5474060822898031,0.6389537183544304,0.5789473684210527,0.5641025641025641,0.5714285714285715,0.6475849731663685,636,82
3,2,0.5752089136490252,0.5727848101265823,0.5930232558139535,0.6163522012578616,0.31921824104234525,0.42060085836909866,0.6372738661989477,0.7297297297297297,0.5192307692307693,0.6067415730337079,0.6928733031674208,632,86
3,3,0.6295264623955432,0.6197836166924265,0.7183098591549296,0.6283783783783784,0.577639751552795,0.6019417475728155,0.6489249880554229,0.717948717948718,0.7567567567567568,0.736842105263158,0.7615262321144675,647,71
3,4,0.5718270571827058,0.5729984301412873,0.5625,0.673469387755102,0.3065015479876161,0.4212765957446808,0.6566228234505334,0.5128205128205128,0.5555555555555556,0.5333333333333333,0.6470959595959596,637,80
3,5,0.6304044630404463,0.6257861635220126,0.6666666666666666,0.6044776119402985,0.7546583850931677,0.6712707182320442,0.6917652411282984,0.6153846153846154,0.6666666666666666,0.64,0.6956790123456789,636,81
4,1,0.5974930362116991,0.5950155763239875,0.618421052631579,0.5967741935483871,0.578125,0.5873015873015873,0.6319099378881988,0.65625,0.5384615384615384,0.5915492957746479,0.6507276507276507,642,76
4,2,0.5682451253481894,0.5750394944707741,0.5176470588235295,0.6136363636363636,0.4231974921630094,0.5009276437847866,0.6499011640676478,0.4888888888888889,0.55,0.5176470588235293,0.538888888888889,633,85
4,3,0.6128133704735376,0.615625,0.5897435897435898,0.6297709923664122,0.5254777070063694,0.5729166666666666,0.6631725997420969,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.6888888888888889,640,78
4,4,0.599721059972106,0.5909797822706065,0.6756756756756757,0.5993589743589743,0.5753846153846154,0.5871271585557299,0.6164586357039188,0.6666666666666666,0.5882352941176471,0.625,0.6727941176470589,643,74
4,5,0.5732217573221757,0.5619047619047619,0.6551724137931034,0.5900900900900901,0.41455696202531644,0.4869888475836431,0.598292751753608,0.7307692307692307,0.4523809523809524,0.5588235294117647,0.6910052910052911,630,87
5,1,0.5766016713091922,0.5637795275590551,0.6746987951807228,0.5862068965517241,0.42902208201892744,0.4954462659380691,0.6206674205900442,0.6470588235294118,0.7857142857142857,0.7096774193548386,0.735191637630662,635,83
5,2,0.5612813370473537,0.5644171779141104,0.5303030303030303,0.5425101214574899,0.8220858895705522,0.6536585365853659,0.610843464187587,0.5416666666666666,0.3939393939393939,0.45614035087719296,0.5840220385674931,652,66
5,3,0.6253481894150418,0.6305732484076433,0.5888888888888889,0.6785714285714286,0.48717948717948717,0.5671641791044776,0.6734724926971762,0.6136363636363636,0.574468085106383,0.5934065934065934,0.6214745175655616,628,90
5,4,0.596931659693166,0.6053459119496856,0.5308641975308642,0.639344262295082,0.4890282131661442,0.5541740674955595,0.6511575012608407,0.5277777777777778,0.475,0.5,0.5835365853658536,636,81
5,5,0.6052998605299861,0.6043956043956044,0.6125,0.6278195488721805,0.521875,0.5699658703071673,0.6614254731861199,0.6060606060606061,0.5263157894736842,0.5633802816901409,0.6791979949874687,637,80
