repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5682451253481894,0.5566037735849056,0.6585365853658537,0.5579514824797843,0.6369230769230769,0.5948275862068965,0.5815186742517932,0.575,0.6764705882352942,0.6216216216216216,0.6482843137254902,636,82
1,2,0.5863509749303621,0.5869565217391305,0.581081081081081,0.606425702811245,0.47335423197492166,0.5316901408450705,0.6145454545454546,0.6097560975609756,0.625,0.6172839506172839,0.6022058823529411,644,74
1,3,0.5919220055710307,0.5964912280701754,0.5604395604395604,0.5571142284569138,0.896774193548387,0.6872682323856613,0.6701434822428005,0.5671641791044776,0.7755102040816326,0.6551724137931034,0.5821185617103984,627,91
1,4,0.5829846582984658,0.5729984301412873,0.6625,0.5683060109289617,0.6459627329192547,0.6046511627906976,0.6175293305728089,0.7083333333333334,0.4594594594594595,0.5573770491803279,0.732872407291012,637,80
1,5,0.5774058577405857,0.5791925465838509,0.5616438356164384,0.5586034912718204,0.7044025157232704,0.6230876216968011,0.6104198016745765,0.6333333333333333,0.475,0.5428571428571427,0.6037878787878788,644,73
2,1,0.5779944289693594,0.5850556438791733,0.5280898876404494,0.6056338028169014,0.5358255451713395,0.568595041322314,0.6087510620220901,0.4583333333333333,0.5789473684210527,0.5116279069767442,0.5552115583075334,629,89
2,2,0.5362116991643454,0.5185758513931888,0.6944444444444444,0.5051020408163265,0.9369085173501577,0.656353591160221,0.57931021257419,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.6746031746031746,646,72
2,3,0.6142061281337048,0.6209048361934477,0.5584415584415584,0.6430976430976431,0.5823170731707317,0.6112000000000001,0.63984454141666,0.4444444444444444,0.3870967741935484,0.41379310344827586,0.5771388499298737,641,77
2,4,0.592747559274756,0.5959119496855346,0.5679012345679012,0.5537525354969574,0.8806451612903226,0.6799501867995017,0.6489214328121908,0.6944444444444444,0.5102040816326531,0.588235294117647,0.5612244897959184,636,81
2,5,0.592747559274756,0.5959119496855346,0.5679012345679012,0.6234817813765182,0.48427672955974843,0.5451327433628319,0.6145524306791662,0.5806451612903226,0.45,0.5070422535211268,0.5896341463414634,636,81
3,1,0.5598885793871866,0.5581761006289309,0.573170731707317,0.648854961832061,0.265625,0.376940133037694,0.6151404272151899,0.5666666666666667,0.4358974358974359,0.4927536231884058,0.5963029218843172,636,82
3,2,0.5696378830083565,0.560126582278481,0.6395348837209303,0.5325842696629214,0.7719869706840391,0.6303191489361702,0.6153445251816587,0.7333333333333333,0.6346153846153846,0.6804123711340205,0.6018099547511312,632,86
3,3,0.5807799442896936,0.5718701700154559,0.6619718309859155,0.5671641791044776,0.5900621118012422,0.578386605783866,0.6114190157668419,0.6666666666666666,0.7027027027027027,0.6842105263157895,0.6836248012718601,647,71
3,4,0.5411436541143654,0.543171114599686,0.525,0.5344827586206896,0.7678018575851393,0.6302414231257942,0.5781388653349372,0.4772727272727273,0.5833333333333334,0.5250000000000001,0.5713383838383839,637,80
3,5,0.6108786610878661,0.6210691823899371,0.5308641975308642,0.589010989010989,0.8322981366459627,0.6898326898326899,0.6618467381413933,0.4782608695652174,0.6111111111111112,0.5365853658536586,0.5987654320987654,636,81
4,1,0.5654596100278552,0.5654205607476636,0.5657894736842105,0.5409181636726547,0.846875,0.6601705237515225,0.6106366459627329,0.5882352941176471,0.5128205128205128,0.547945205479452,0.6209286209286209,642,76
4,2,0.6016713091922006,0.6018957345971564,0.6,0.570230607966457,0.8526645768025078,0.6834170854271356,0.625012479284388,0.5576923076923077,0.725,0.6304347826086957,0.5788888888888889,633,85
4,3,0.5557103064066853,0.5609375,0.5128205128205128,0.5435356200527705,0.6560509554140127,0.5945165945165944,0.5899828064553945,0.574468085106383,0.6,0.5869565217391305,0.5636363636363637,640,78
4,4,0.5564853556485355,0.5458786936236392,0.6486486486486487,0.5627376425855514,0.4553846153846154,0.5034013605442177,0.5886308659893567,0.7857142857142857,0.3235294117647059,0.45833333333333326,0.7705882352941177,643,74
4,5,0.5732217573221758,0.5793650793650794,0.5287356321839081,0.6294416243654822,0.3924050632911392,0.4834307992202729,0.6253829718616464,0.5151515151515151,0.40476190476190477,0.4533333333333333,0.5634920634920635,630,87
5,1,0.5598885793871866,0.5559055118110237,0.5903614457831325,0.5862068965517241,0.3753943217665615,0.4576923076923077,0.5872170307322977,0.75,0.2857142857142857,0.4137931034482759,0.6167247386759582,635,83
5,2,0.5598885793871866,0.5521472392638037,0.6363636363636364,0.5537974683544303,0.5368098159509203,0.5451713395638629,0.5819752342956076,0.7647058823529411,0.3939393939393939,0.5199999999999999,0.6014692378328743,652,66
5,3,0.5320334261838441,0.5302547770700637,0.5444444444444444,0.5219638242894057,0.6474358974358975,0.5779685264663805,0.5770245050308341,0.575,0.48936170212765956,0.5287356321839081,0.6026719445818902,628,90
5,4,0.5662482566248257,0.5691823899371069,0.5432098765432098,0.6717557251908397,0.27586206896551724,0.3911111111111111,0.645461467717532,0.5882352941176471,0.25,0.3508771929824561,0.6164634146341463,636,81
5,5,0.5453277545327754,0.5510204081632653,0.5,0.5311355311355311,0.90625,0.6697459584295613,0.6169065457413249,0.48214285714285715,0.7105263157894737,0.5744680851063829,0.5557644110275689,637,80
