repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5919220055710307,0.5849056603773585,0.6463414634146342,0.5905044510385756,0.6123076923076923,0.6012084592145015,0.6254761315854565,0.5925925925925926,0.47058823529411764,0.5245901639344261,0.6746323529411764,636,82
1,2,0.6337047353760445,0.6319875776397516,0.6486486486486487,0.6014851485148515,0.7617554858934169,0.6721991701244813,0.6783409693754521,0.7692307692307693,0.5,0.6060606060606061,0.7573529411764706,644,74
1,3,0.628133704735376,0.6299840510366826,0.6153846153846154,0.6258064516129033,0.6258064516129033,0.6258064516129033,0.6970794749160475,0.675,0.5510204081632653,0.6067415730337078,0.6666666666666667,627,91
1,4,0.599721059972106,0.598116169544741,0.6125,0.613013698630137,0.5559006211180124,0.5830618892508144,0.6451049985211477,0.5789473684210527,0.5945945945945946,0.5866666666666667,0.6637335009428033,637,80
1,5,0.5899581589958159,0.5854037267080745,0.6301369863013698,0.5977011494252874,0.49056603773584906,0.538860103626943,0.6287089555118263,0.7241379310344828,0.525,0.6086956521739131,0.7295454545454545,644,73
2,1,0.6155988857938719,0.6120826709062003,0.6404494382022472,0.5941320293398533,0.7570093457943925,0.6657534246575342,0.6677489177489179,0.6071428571428571,0.4473684210526316,0.5151515151515151,0.6842105263157895,629,89
2,2,0.5933147632311978,0.5851393188854489,0.6666666666666666,0.5663956639566395,0.6593059936908517,0.60932944606414,0.6323626705531531,0.7045454545454546,0.7380952380952381,0.7209302325581395,0.707936507936508,646,72
2,3,0.6309192200557103,0.641185647425897,0.5454545454545454,0.6580645161290323,0.6219512195121951,0.6394984326018809,0.6910017143302424,0.4375,0.45161290322580644,0.4444444444444444,0.6065918653576438,641,77
2,4,0.6234309623430963,0.6194968553459119,0.654320987654321,0.5982658959537572,0.667741935483871,0.6310975609756098,0.6739659608153572,0.8181818181818182,0.5510204081632653,0.6585365853658536,0.7397959183673469,636,81
2,5,0.6150627615062761,0.6147798742138365,0.6172839506172839,0.5943152454780362,0.7232704402515723,0.652482269503546,0.6501522882797358,0.7368421052631579,0.35,0.47457627118644063,0.7463414634146341,636,81
3,1,0.6267409470752089,0.6242138364779874,0.6463414634146342,0.6401384083044983,0.578125,0.6075533661740559,0.6612836234177215,0.6785714285714286,0.48717948717948717,0.5671641791044776,0.6970781156827669,636,82
3,2,0.5863509749303621,0.5933544303797469,0.5348837209302325,0.5647668393782384,0.7100977198697068,0.6291486291486291,0.6571285392132296,0.8333333333333334,0.28846153846153844,0.42857142857142855,0.6996606334841629,632,86
3,3,0.607242339832869,0.6043276661514683,0.6338028169014085,0.6,0.6149068322981367,0.6073619631901841,0.656493072145246,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.7257551669316376,647,71
3,4,0.6192468619246861,0.6106750392464678,0.6875,0.6074498567335244,0.6563467492260062,0.6309523809523809,0.6499871822681469,0.6486486486486487,0.6666666666666666,0.6575342465753425,0.7083333333333334,637,80
3,5,0.606694560669456,0.6053459119496856,0.6172839506172839,0.6059701492537314,0.6304347826086957,0.6179604261796043,0.6528365707955849,0.5531914893617021,0.7222222222222222,0.6265060240963856,0.6549382716049382,636,81
4,1,0.6197771587743732,0.6246105919003115,0.5789473684210527,0.6125356125356125,0.671875,0.6408345752608047,0.6766401397515528,0.5945945945945946,0.5641025641025641,0.5789473684210528,0.6451836451836452,642,76
4,2,0.6420612813370473,0.6334913112164297,0.7058823529411765,0.6191780821917808,0.7084639498432602,0.6608187134502924,0.6908931174250743,0.6923076923076923,0.675,0.6835443037974683,0.6988888888888889,633,85
4,3,0.6128133704735376,0.628125,0.48717948717948717,0.5945273631840796,0.7611464968152867,0.6675977653631285,0.6669239185651205,0.6,0.3333333333333333,0.42857142857142855,0.531986531986532,640,78
4,4,0.595536959553696,0.5894245723172629,0.6486486486486487,0.5950155763239875,0.5876923076923077,0.5913312693498451,0.6394533139816159,0.6,0.7058823529411765,0.6486486486486486,0.7176470588235294,643,74
4,5,0.6317991631799164,0.6253968253968254,0.6781609195402298,0.6492537313432836,0.5506329113924051,0.5958904109589042,0.6612613883737806,0.675,0.6428571428571429,0.6585365853658537,0.7232804232804232,630,87
5,1,0.6225626740947076,0.6188976377952756,0.6506024096385542,0.6425855513307985,0.5331230283911672,0.5827586206896552,0.6443168065392934,0.6857142857142857,0.5714285714285714,0.6233766233766234,0.7195121951219513,635,83
5,2,0.5779944289693594,0.5720858895705522,0.6363636363636364,0.5626666666666666,0.647239263803681,0.6019971469329529,0.6216643456660017,0.6956521739130435,0.48484848484848486,0.5714285714285715,0.6786042240587695,652,66
5,3,0.6406685236768802,0.6337579617834395,0.6888888888888889,0.6145251396648045,0.7051282051282052,0.6567164179104479,0.6814244563453424,0.7021276595744681,0.7021276595744681,0.7021276595744681,0.7041068777832756,628,90
5,4,0.6136680613668062,0.6179245283018868,0.5802469135802469,0.625,0.5956112852664577,0.609951845906902,0.6661985898361401,0.575,0.575,0.575,0.6817073170731708,636,81
5,5,0.6206415620641562,0.6263736263736264,0.575,0.6171428571428571,0.675,0.6447761194029851,0.6675078864353312,0.5833333333333334,0.3684210526315789,0.4516129032258065,0.7224310776942355,637,80
