repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5840579710144927,0.6206896551724138,0.5787728026533997,0.7407407407407407,0.43478260869565216,0.5479452054794521,0.6139978791092259,0.7227722772277227,0.24414715719063546,0.365,0.6964332863932406,87,603
1,2,0.6463768115942029,0.5842696629213483,0.6555740432612313,0.5217391304347826,0.6153846153846154,0.5647058823529412,0.6343589743589744,0.6504559270516718,0.6993464052287581,0.6740157480314961,0.6981499944610612,89,601
1,3,0.6202898550724638,0.5068493150684932,0.6337115072933549,0.5833333333333334,0.35,0.4375,0.6136363636363638,0.6446886446886447,0.5770491803278689,0.6089965397923875,0.6899117276166458,73,617
1,4,0.6,0.6197183098591549,0.5977382875605816,0.6,0.6176470588235294,0.608695652173913,0.7170111287758347,0.7183098591549296,0.3279742765273312,0.4503311258278146,0.6852632897648975,71,619
1,5,0.5855072463768117,0.45,0.6032786885245902,0.47058823529411764,0.5853658536585366,0.5217391304347826,0.40525328330206384,0.5670995670995671,0.8618421052631579,0.6840731070496083,0.6785023219814242,80,610
2,1,0.6202898550724638,0.5833333333333334,0.6245954692556634,0.5294117647058824,0.5625,0.5454545454545455,0.5796875,0.6401384083044983,0.5910543130990416,0.6146179401993356,0.6755669617137171,72,618
2,2,0.6463768115942029,0.5405405405405406,0.6590909090909091,0.6410256410256411,0.5555555555555556,0.5952380952380952,0.5379310344827586,0.631578947368421,0.72,0.6728971962616822,0.7097257383966245,74,616
2,3,0.591304347826087,0.4942528735632184,0.6053067993366501,0.5454545454545454,0.5,0.5217391304347826,0.5213675213675213,0.5750636132315522,0.7609427609427609,0.655072463768116,0.6552892762043088,87,603
2,4,0.6826086956521739,0.5189873417721519,0.7037643207855974,0.45454545454545453,0.5882352941176471,0.5128205128205129,0.5483660130718955,0.7338129496402878,0.6559485530546624,0.6926994906621392,0.757717041800643,79,611
2,5,0.6420289855072464,0.6136363636363636,0.6461794019933554,0.5636363636363636,0.7560975609756098,0.6458333333333333,0.6424494032174364,0.599128540305011,0.9046052631578947,0.7208387942332898,0.72657629812787,88,602
3,1,0.5710144927536231,0.5454545454545454,0.5752961082910322,0.5333333333333333,0.6530612244897959,0.5871559633027523,0.5848979591836734,0.5443786982248521,0.9324324324324325,0.6874221668742216,0.6586463582226294,99,591
3,2,0.6420289855072464,0.5529411764705883,0.6545454545454545,0.5555555555555556,0.6818181818181818,0.6122448979591836,0.6042128603104213,0.6127450980392157,0.8305647840531561,0.7052186177715092,0.7345143381710091,85,605
3,3,0.6521739130434782,0.5735294117647058,0.6607717041800643,0.6,0.5833333333333334,0.591549295774648,0.6241319444444444,0.6282722513089005,0.7766990291262136,0.694645441389291,0.729985421384038,68,622
3,4,0.6463768115942029,0.5263157894736842,0.6612377850162866,0.5,0.7777777777777778,0.6086956521739131,0.6152777777777778,0.6246913580246913,0.8187702265372169,0.7086834733893558,0.7154437901214918,76,614
3,5,0.5753623188405798,0.5694444444444444,0.5760517799352751,0.5625,0.5142857142857142,0.5373134328358209,0.5868725868725869,0.6411764705882353,0.35161290322580646,0.45416666666666666,0.667249685798073,72,618
4,1,0.6130434782608696,0.5747126436781609,0.6185737976782753,0.6578947368421053,0.5102040816326531,0.574712643678161,0.6573576799140709,0.5702127659574469,0.9054054054054054,0.6997389033942559,0.7364974909763183,87,603
4,2,0.6130434782608696,0.6477272727272727,0.6079734219269103,0.59375,0.5135135135135135,0.5507246376811593,0.6343402225755168,0.6304347826086957,0.564935064935065,0.5958904109589042,0.6491408251612333,88,602
4,3,0.6608695652173913,0.5256410256410257,0.6781045751633987,0.5348837209302325,0.575,0.5542168674698795,0.5815789473684211,0.6428571428571429,0.7967213114754098,0.7115666178623719,0.7375554012922518,78,612
4,4,0.6434782608695652,0.5428571428571428,0.6548387096774193,0.6,0.47368421052631576,0.5294117647058824,0.5435855263157895,0.6148148148148148,0.8110749185667753,0.699438202247191,0.6995868499651372,70,620
4,5,0.5623188405797102,0.5714285714285714,0.5611745513866232,0.5652173913043478,0.3611111111111111,0.44067796610169496,0.5345528455284553,0.6818181818181818,0.24271844660194175,0.35799522673031026,0.6859351047521718,77,613
5,1,0.6478260869565218,0.5444444444444444,0.6633333333333333,0.5777777777777777,0.5416666666666666,0.5591397849462364,0.6046626984126984,0.6507936507936508,0.6902356902356902,0.6699346405228759,0.7116933915613783,90,600
5,2,0.5898550724637681,0.527027027027027,0.5974025974025974,0.6071428571428571,0.4146341463414634,0.49275362318840576,0.5683665927568367,0.5773480662983426,0.6875,0.6276276276276277,0.6500295209176787,74,616
5,3,0.6144927536231884,0.5227272727272727,0.627906976744186,0.5405405405405406,0.4444444444444444,0.4878048780487805,0.5229974160206718,0.7134831460674157,0.42333333333333334,0.5313807531380754,0.7305960264900662,88,602
5,4,0.5884057971014492,0.5822784810126582,0.5891980360065466,0.5142857142857142,0.5294117647058824,0.5217391304347826,0.5954248366013072,0.65,0.4180064308681672,0.5088062622309198,0.6651125401929261,79,611
5,5,0.572463768115942,0.5507246376811594,0.5748792270531401,0.5161290322580645,0.5,0.5079365079365079,0.5684121621621622,0.5470249520153551,0.9105431309904153,0.6834532374100719,0.6978341147670221,69,621
