repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5942028985507246,0.6206896551724138,0.5903814262023217,0.6585365853658537,0.5869565217391305,0.6206896551724138,0.613997879109226,0.5550847457627118,0.8762541806020067,0.6796368352788585,0.691515578243267,87,603
1,2,0.6608695652173913,0.6741573033707865,0.6589018302828619,0.6388888888888888,0.5897435897435898,0.6133333333333332,0.6958974358974359,0.730593607305936,0.5228758169934641,0.6095238095238096,0.6946604630552786,89,601
1,3,0.5985507246376811,0.547945205479452,0.6045380875202593,0.574468085106383,0.675,0.6206896551724138,0.5431818181818182,0.5580952380952381,0.9606557377049181,0.7060240963855422,0.7435792349726776,73,617
1,4,0.5666666666666667,0.6338028169014085,0.5589660743134087,0.6052631578947368,0.6764705882352942,0.6388888888888888,0.6828298887122416,0.5374015748031497,0.8778135048231511,0.6666666666666667,0.62028646594563,71,619
1,5,0.6521739130434783,0.5,0.6721311475409836,0.5128205128205128,0.4878048780487805,0.5,0.5803627267041902,0.7131147540983607,0.5723684210526315,0.635036496350365,0.7129557963536292,80,610
2,1,0.6405797101449275,0.6527777777777778,0.63915857605178,0.6206896551724138,0.5625,0.5901639344262296,0.64375,0.6355421686746988,0.6741214057507987,0.6542635658914729,0.6797988791703766,72,618
2,2,0.5884057971014492,0.5945945945945946,0.5876623376623377,0.6595744680851063,0.6888888888888889,0.6739130434782609,0.5655172413793103,0.5513392857142857,0.8233333333333334,0.660427807486631,0.6808333333333333,74,616
2,3,0.5652173913043478,0.5862068965517241,0.5621890547263682,0.6578947368421053,0.5208333333333334,0.5813953488372092,0.6591880341880342,0.5321637426900585,0.9191919191919192,0.6740740740740742,0.6765586144671112,87,603
2,4,0.6289855072463768,0.620253164556962,0.630114566284779,0.5625,0.5294117647058824,0.5454545454545455,0.6477124183006536,0.6177285318559557,0.7170418006430869,0.6636904761904762,0.6908145766345123,79,611
2,5,0.6507246376811594,0.6136363636363636,0.6561461794019934,0.5897435897435898,0.5609756097560976,0.575,0.6424494032174365,0.6932270916334662,0.5723684210526315,0.627027027027027,0.7210349699752737,88,602
3,1,0.6014492753623188,0.6161616161616161,0.5989847715736041,0.6078431372549019,0.6326530612244898,0.62,0.6159183673469387,0.5648351648351648,0.8682432432432432,0.6844207723035952,0.716433806688044,99,591
3,2,0.5985507246376811,0.5764705882352941,0.6016528925619835,0.5645161290322581,0.7954545454545454,0.6603773584905661,0.5753880266075388,0.5627615062761506,0.893687707641196,0.6906290115532734,0.6895982689281344,85,605
3,3,0.5391304347826087,0.5147058823529411,0.5418006430868167,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.5338541666666667,0.5208333333333334,0.970873786407767,0.6779661016949152,0.6776057983601642,68,622
3,4,0.6608695652173913,0.631578947368421,0.6644951140065146,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.7194444444444446,0.6546546546546547,0.7055016181229773,0.6791277258566978,0.7033264364157249,76,614
3,5,0.5652173913043478,0.5833333333333334,0.5631067961165048,0.5609756097560976,0.6571428571428571,0.605263157894737,0.6108108108108108,0.5357142857142857,0.967741935483871,0.6896551724137931,0.6808232090490154,72,618
4,1,0.5608695652173914,0.632183908045977,0.5505804311774462,0.6666666666666666,0.6938775510204082,0.6799999999999999,0.6439312567132116,0.5227686703096539,0.9695945945945946,0.6792899408284024,0.7282331191125979,87,603
4,2,0.5826086956521739,0.5227272727272727,0.5913621262458472,0.45098039215686275,0.6216216216216216,0.5227272727272727,0.6025437201907791,0.6156716417910447,0.5357142857142857,0.5729166666666666,0.6436191359660748,88,602
4,3,0.5768115942028985,0.5897435897435898,0.5751633986928104,0.6052631578947368,0.575,0.5897435897435896,0.5789473684210527,0.5450901803607214,0.8918032786885246,0.6766169154228856,0.6892614940994287,78,612
4,4,0.5347826086956522,0.5714285714285714,0.5306451612903226,0.5666666666666667,0.8947368421052632,0.6938775510204083,0.606907894736842,0.5136986301369864,0.9771986970684039,0.6734006734006734,0.6702708890530851,70,620
4,5,0.6565217391304348,0.5194805194805194,0.6737357259380098,0.4897959183673469,0.6666666666666666,0.5647058823529412,0.5968834688346883,0.6518105849582173,0.7572815533980582,0.7005988023952097,0.7169775166070514,77,613
5,1,0.6043478260869565,0.5777777777777777,0.6083333333333333,0.6136363636363636,0.5625,0.5869565217391304,0.6056547619047619,0.5648535564853556,0.9090909090909091,0.6967741935483871,0.7055038837217055,90,600
5,2,0.5666666666666667,0.5405405405405406,0.5698051948051948,0.6296296296296297,0.4146341463414634,0.5,0.5942350332594235,0.648854961832061,0.27960526315789475,0.3908045977011494,0.6342990890688259,74,616
5,3,0.6376811594202899,0.6590909090909091,0.6345514950166113,0.6595744680851063,0.6888888888888889,0.6739130434782609,0.6883720930232559,0.6129943502824858,0.7233333333333334,0.6636085626911314,0.6841059602649007,88,602
5,4,0.5855072463768116,0.5949367088607594,0.5842880523731587,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.6254901960784314,0.5549132947976878,0.9260450160771704,0.6939759036144578,0.6690889603429796,79,611
5,5,0.5753623188405798,0.5652173913043478,0.5764895330112721,0.5263157894736842,0.625,0.5714285714285714,0.6537162162162162,0.5457875457875457,0.952076677316294,0.6938300349243306,0.7187772291606158,69,621
