repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6594202898550725,0.5632183908045977,0.6733001658374793,0.6428571428571429,0.391304347826087,0.4864864864864865,0.5832449628844114,0.7318181818181818,0.5384615384615384,0.6204238921001927,0.7545326527019891,87,603
1,2,0.6159420289855072,0.6292134831460674,0.6139767054908486,0.6071428571428571,0.4358974358974359,0.5074626865671643,0.6758974358974359,0.6516393442622951,0.5196078431372549,0.5781818181818182,0.6802370665780437,89,601
1,3,0.5507246376811594,0.6438356164383562,0.539708265802269,0.6521739130434783,0.75,0.6976744186046512,0.6416666666666666,0.5180102915951973,0.9901639344262295,0.6801801801801802,0.7257776376628836,73,617
1,4,0.6710144927536232,0.6901408450704225,0.6688206785137318,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.7686804451510334,0.6204545454545455,0.8778135048231511,0.7270306258322238,0.7298043596275108,71,619
1,5,0.5884057971014492,0.575,0.5901639344262295,0.5636363636363636,0.7560975609756098,0.6458333333333333,0.6660412757973734,0.5569620253164557,0.868421052631579,0.6786632390745501,0.702764877880977,80,610
2,1,0.6115942028985507,0.5972222222222222,0.6132686084142395,0.5319148936170213,0.78125,0.6329113924050632,0.62421875,0.5755102040816327,0.9009584664536742,0.7023661270236612,0.7199811449222229,72,618
2,2,0.6521739130434783,0.5945945945945946,0.6590909090909091,0.8,0.4444444444444444,0.5714285714285714,0.668199233716475,0.65625,0.63,0.6428571428571429,0.7135759493670886,74,616
2,3,0.6231884057971014,0.5632183908045977,0.6318407960199005,0.6470588235294118,0.4583333333333333,0.5365853658536585,0.6207264957264957,0.6005361930294906,0.7542087542087542,0.6686567164179104,0.690213683677736,87,603
2,4,0.6478260869565217,0.6455696202531646,0.6481178396072013,0.5789473684210527,0.6470588235294118,0.6111111111111113,0.74640522875817,0.6194029850746269,0.8006430868167203,0.6984572230014024,0.7089067524115755,79,611
2,5,0.6130434782608696,0.5681818181818182,0.6196013289036545,0.5294117647058824,0.6585365853658537,0.5869565217391304,0.6642449403217436,0.5806451612903226,0.8881578947368421,0.7022106631989596,0.737107029318262,88,602
3,1,0.6304347826086957,0.6565656565656566,0.626057529610829,0.6666666666666666,0.6122448979591837,0.6382978723404255,0.670204081632653,0.6080691642651297,0.7128378378378378,0.6562986003110419,0.6822721026110857,99,591
3,2,0.691304347826087,0.7176470588235294,0.687603305785124,0.6923076923076923,0.8181818181818182,0.7500000000000001,0.7267184035476718,0.6891891891891891,0.6777408637873754,0.6834170854271358,0.7490492218919391,85,605
3,3,0.6159420289855072,0.6470588235294118,0.612540192926045,0.6764705882352942,0.6388888888888888,0.6571428571428571,0.6328125,0.566147859922179,0.941747572815534,0.7071688942891858,0.7454015323055927,68,622
3,4,0.6391304347826086,0.618421052631579,0.6416938110749185,0.5897435897435898,0.6388888888888888,0.6133333333333332,0.6645833333333333,0.663003663003663,0.5857605177993528,0.6219931271477663,0.7189559127805187,76,614
3,5,0.6420289855072464,0.5694444444444444,0.6504854368932039,0.5714285714285714,0.45714285714285713,0.5079365079365079,0.6486486486486486,0.6441717791411042,0.6774193548387096,0.660377358490566,0.7031943862589024,72,618
4,1,0.6739130434782609,0.632183908045977,0.6799336650082919,0.8148148148148148,0.4489795918367347,0.5789473684210527,0.8045112781954887,0.6666666666666666,0.6959459459459459,0.6809917355371901,0.7386873844528566,87,603
4,2,0.5739130434782609,0.5681818181818182,0.574750830564784,0.4883720930232558,0.5675675675675675,0.525,0.611552729199788,0.5553191489361702,0.8474025974025974,0.6709511568123393,0.6563190211149394,88,602
4,3,0.6202898550724638,0.6153846153846154,0.6209150326797386,0.6190476190476191,0.65,0.6341463414634146,0.630263157894737,0.5768421052631579,0.898360655737705,0.7025641025641026,0.7273775831686871,78,612
4,4,0.5739130434782609,0.6,0.5709677419354838,0.6086956521739131,0.7368421052631579,0.6666666666666666,0.6159539473684211,0.5374771480804388,0.9576547231270358,0.6885245901639344,0.725728736302047,70,620
4,5,0.6304347826086957,0.6493506493506493,0.6280587275693311,0.6046511627906976,0.7222222222222222,0.6582278481012659,0.7228997289972899,0.6091644204851752,0.7313915857605178,0.6647058823529411,0.6949944643161301,77,613
5,1,0.6159420289855072,0.5555555555555556,0.625,0.6538461538461539,0.3541666666666667,0.4594594594594595,0.6388888888888888,0.587378640776699,0.8148148148148148,0.6826516220028208,0.7076596548543744,90,600
5,2,0.6289855072463768,0.6216216216216216,0.6298701298701299,0.76,0.4634146341463415,0.5757575757575758,0.7346637102734664,0.652,0.5361842105263158,0.5884476534296029,0.7158822537112011,74,616
5,3,0.6275362318840579,0.5568181818181818,0.6378737541528239,0.5714285714285714,0.5333333333333333,0.5517241379310344,0.6072351421188631,0.6132596685082873,0.74,0.6706948640483382,0.6964514348785873,88,602
5,4,0.6695652173913044,0.6329113924050633,0.67430441898527,0.5510204081632653,0.7941176470588235,0.6506024096385542,0.6215686274509804,0.6513513513513514,0.77491961414791,0.7077826725403819,0.7406966773847803,79,611
5,5,0.6579710144927535,0.6086956521739131,0.6634460547504025,0.5675675675675675,0.65625,0.6086956521739131,0.6638513513513513,0.6547619047619048,0.7028753993610224,0.6779661016949152,0.7125119289656031,69,621
