2025-07-14 22:13:36 - 
Experiment Configuration:
2025-07-14 22:13:36 - --------------------------------------------------
2025-07-14 22:13:36 - dataset: ds005863
2025-07-14 22:13:36 - use_combined_datasets: False
2025-07-14 22:13:36 - electrode_list: all
2025-07-14 22:13:36 - classifier: lda
2025-07-14 22:13:36 - separate_subject_classification: True
2025-07-14 22:13:36 - seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
2025-07-14 22:13:36 - --------------------------------------------------
2025-07-14 22:13:36 - 
==================================================
2025-07-14 22:13:36 - Processing Active Visual Oddball Dataset
2025-07-14 22:13:36 - ==================================================
2025-07-14 22:13:46 - Subject: sub-001, Accuracy: 55.814%
2025-07-14 22:13:47 - Subject: sub-002, Accuracy: 74.419%
2025-07-14 22:13:48 - Subject: sub-003, Accuracy: 88.372%
2025-07-14 22:13:50 - Subject: sub-004, Accuracy: 65.116%
2025-07-14 22:13:51 - Subject: sub-005, Accuracy: 62.791%
2025-07-14 22:13:52 - Subject: sub-006, Accuracy: 74.419%
2025-07-14 22:13:54 - Subject: sub-007, Accuracy: 79.070%
2025-07-14 22:13:55 - Subject: sub-008, Accuracy: 79.070%
2025-07-14 22:13:57 - Subject: sub-009, Accuracy: 72.093%
2025-07-14 22:13:58 - Subject: sub-010, Accuracy: 76.744%
2025-07-14 22:14:00 - Subject: sub-011, Accuracy: 86.047%
2025-07-14 22:14:01 - Subject: sub-012, Accuracy: 88.372%
2025-07-14 22:14:02 - Subject: sub-013, Accuracy: 67.442%
2025-07-14 22:14:04 - Subject: sub-014, Accuracy: 74.419%
2025-07-14 22:14:05 - Subject: sub-015, Accuracy: 81.395%
2025-07-14 22:14:07 - Subject: sub-016, Accuracy: 69.767%
2025-07-14 22:14:08 - Subject: sub-017, Accuracy: 81.395%
2025-07-14 22:14:10 - Subject: sub-018, Accuracy: 83.721%
2025-07-14 22:14:11 - Subject: sub-019, Accuracy: 81.395%
2025-07-14 22:14:12 - Subject: sub-020, Accuracy: 65.116%
2025-07-14 22:14:13 - Subject: sub-021, Accuracy: 72.093%
2025-07-14 22:14:15 - Subject: sub-022, Accuracy: 67.442%
2025-07-14 22:14:16 - Subject: sub-023, Accuracy: 76.744%
2025-07-14 22:14:17 - Subject: sub-024, Accuracy: 74.419%
2025-07-14 22:14:18 - Subject: sub-025, Accuracy: 79.070%
2025-07-14 22:14:20 - Subject: sub-026, Accuracy: 79.070%
2025-07-14 22:14:21 - Subject: sub-027, Accuracy: 74.419%
2025-07-14 22:14:22 - Subject: sub-028, Accuracy: 72.093%
2025-07-14 22:14:23 - Subject: sub-029, Accuracy: 72.093%
2025-07-14 22:14:25 - Subject: sub-030, Accuracy: 76.744%
2025-07-14 22:14:26 - Subject: sub-031, Accuracy: 90.698%
2025-07-14 22:14:27 - Subject: sub-032, Accuracy: 76.744%
2025-07-14 22:14:28 - Subject: sub-033, Accuracy: 76.744%
2025-07-14 22:14:29 - Subject: sub-034, Accuracy: 69.767%
2025-07-14 22:14:31 - Subject: sub-035, Accuracy: 69.767%
2025-07-14 22:14:32 - Subject: sub-036, Accuracy: 72.093%
2025-07-14 22:14:33 - Subject: sub-037, Accuracy: 79.070%
2025-07-14 22:14:34 - Subject: sub-038, Accuracy: 69.767%
2025-07-14 22:14:35 - Subject: sub-039, Accuracy: 76.744%
