2025-08-13 18:46:33 - 
Experiment Configuration:
2025-08-13 18:46:33 - --------------------------------------------------
2025-08-13 18:46:33 - dataset: P3 Raw Data BIDS-Compatible
2025-08-13 18:46:33 - use_combined_datasets: False
2025-08-13 18:46:33 - electrode_list: all
2025-08-13 18:46:33 - classifier: lda
2025-08-13 18:46:33 - separate_subject_classification: True
2025-08-13 18:46:33 - use_subject_layer: False
2025-08-13 18:46:33 - seeds: [1]
2025-08-13 18:46:33 - --------------------------------------------------
2025-08-13 18:46:33 - 
==================================================
2025-08-13 18:46:33 - Processing P3 Dataset
2025-08-13 18:46:33 - ==================================================
2025-08-13 18:47:08 - Subject: sub-001, Accuracy: 93.827%
2025-08-13 18:47:41 - Subject: sub-002, Accuracy: 88.889%
2025-08-13 18:48:16 - Subject: sub-003, Accuracy: 95.000%
2025-08-13 18:49:02 - Subject: sub-004, Accuracy: 95.062%
2025-08-13 18:49:44 - Subject: sub-005, Accuracy: 90.000%
2025-08-13 18:50:29 - Subject: sub-006, Accuracy: 93.750%
2025-08-13 18:51:16 - Subject: sub-007, Accuracy: 96.296%
2025-08-13 18:52:04 - Subject: sub-008, Accuracy: 94.805%
2025-08-13 18:52:51 - Subject: sub-009, Accuracy: 93.827%
2025-08-13 18:53:30 - Subject: sub-010, Accuracy: 92.500%
2025-08-13 18:54:16 - Subject: sub-011, Accuracy: 96.296%
2025-08-13 18:55:12 - Subject: sub-012, Accuracy: 96.296%
2025-08-13 18:56:08 - Subject: sub-013, Accuracy: 95.000%
2025-08-13 18:56:57 - Subject: sub-014, Accuracy: 92.500%
2025-08-13 18:57:50 - Subject: sub-015, Accuracy: 91.358%
2025-08-13 18:58:44 - Subject: sub-016, Accuracy: 95.062%
2025-08-13 18:59:37 - Subject: sub-017, Accuracy: 92.593%
2025-08-13 19:00:37 - Subject: sub-018, Accuracy: 92.593%
2025-08-13 19:01:39 - Subject: sub-019, Accuracy: 92.593%
2025-08-13 19:02:48 - Subject: sub-020, Accuracy: 91.358%
2025-08-13 19:03:45 - Subject: sub-021, Accuracy: 95.062%
2025-08-13 19:04:47 - Subject: sub-022, Accuracy: 93.750%
2025-08-13 19:05:39 - Subject: sub-023, Accuracy: 91.250%
