2025-08-25 22:06:44 - 
Experiment Configuration:
2025-08-25 22:06:44 - --------------------------------------------------
2025-08-25 22:06:44 - dataset: ds005863
2025-08-25 22:06:44 - use_combined_datasets: False
2025-08-25 22:06:44 - electrode_list: common
2025-08-25 22:06:44 - classifier: lda
2025-08-25 22:06:44 - separate_subject_classification: True
2025-08-25 22:06:44 - use_subject_layer: True
2025-08-25 22:06:44 - seeds: [1]
2025-08-25 22:06:44 - --------------------------------------------------
2025-08-25 22:06:44 - 
==================================================
2025-08-25 22:06:44 - Processing Active Visual Oddball Dataset
2025-08-25 22:06:44 - ==================================================
2025-08-25 22:07:05 - Subject: sub-001, Accuracy: 93.023%
2025-08-25 22:07:06 - Subject: sub-002, Accuracy: 93.103%
2025-08-25 22:07:07 - Subject: sub-003, Accuracy: 86.207%
2025-08-25 22:07:08 - Subject: sub-004, Accuracy: 95.402%
2025-08-25 22:07:10 - Subject: sub-005, Accuracy: 93.103%
2025-08-25 22:07:11 - Subject: sub-006, Accuracy: 89.655%
2025-08-25 22:07:12 - Subject: sub-007, Accuracy: 83.908%
2025-08-25 22:07:14 - Subject: sub-008, Accuracy: 93.103%
2025-08-25 22:07:15 - Subject: sub-009, Accuracy: 93.103%
2025-08-25 22:07:17 - Subject: sub-010, Accuracy: 90.805%
2025-08-25 22:07:19 - Subject: sub-011, Accuracy: 87.356%
2025-08-25 22:07:20 - Subject: sub-012, Accuracy: 86.207%
2025-08-25 22:07:21 - Subject: sub-013, Accuracy: 89.655%
2025-08-25 22:07:22 - Subject: sub-014, Accuracy: 93.023%
2025-08-25 22:07:24 - Subject: sub-015, Accuracy: 90.805%
2025-08-25 22:07:26 - Subject: sub-016, Accuracy: 86.207%
2025-08-25 22:07:27 - Subject: sub-017, Accuracy: 89.655%
2025-08-25 22:07:29 - Subject: sub-018, Accuracy: 88.372%
2025-08-25 22:07:30 - Subject: sub-019, Accuracy: 93.103%
2025-08-25 22:07:32 - Subject: sub-020, Accuracy: 90.244%
2025-08-25 22:07:33 - Subject: sub-021, Accuracy: 88.506%
2025-08-25 22:07:34 - Subject: sub-022, Accuracy: 94.253%
2025-08-25 22:07:35 - Subject: sub-023, Accuracy: 94.186%
2025-08-25 22:07:36 - Subject: sub-024, Accuracy: 95.402%
2025-08-25 22:07:38 - Subject: sub-025, Accuracy: 86.207%
2025-08-25 22:07:39 - Subject: sub-026, Accuracy: 86.207%
2025-08-25 22:07:41 - Subject: sub-027, Accuracy: 94.253%
2025-08-25 22:07:43 - Subject: sub-028, Accuracy: 85.882%
2025-08-25 22:07:44 - Subject: sub-029, Accuracy: 91.954%
2025-08-25 22:07:46 - Subject: sub-030, Accuracy: 90.805%
2025-08-25 22:07:47 - Subject: sub-031, Accuracy: 88.506%
2025-08-25 22:07:49 - Subject: sub-032, Accuracy: 90.805%
2025-08-25 22:07:50 - Subject: sub-033, Accuracy: 91.954%
2025-08-25 22:07:51 - Subject: sub-034, Accuracy: 93.103%
2025-08-25 22:07:52 - Subject: sub-035, Accuracy: 94.186%
2025-08-25 22:07:54 - Subject: sub-036, Accuracy: 96.512%
2025-08-25 22:07:55 - Subject: sub-037, Accuracy: 90.805%
2025-08-25 22:07:56 - Subject: sub-038, Accuracy: 90.805%
2025-08-25 22:07:57 - Subject: sub-039, Accuracy: 90.805%
2025-08-25 22:07:58 - Subject: sub-040, Accuracy: 96.552%
2025-08-25 22:08:00 - Subject: sub-041, Accuracy: 97.701%
2025-08-25 22:08:01 - Subject: sub-042, Accuracy: 89.655%
2025-08-25 22:08:02 - Subject: sub-043, Accuracy: 94.253%
2025-08-25 22:08:04 - Subject: sub-044, Accuracy: 90.805%
2025-08-25 22:08:05 - Subject: sub-045, Accuracy: 91.954%
2025-08-25 22:08:06 - Subject: sub-046, Accuracy: 89.655%
2025-08-25 22:08:07 - Subject: sub-047, Accuracy: 93.103%
2025-08-25 22:08:08 - Subject: sub-048, Accuracy: 91.954%
2025-08-25 22:08:09 - Subject: sub-049, Accuracy: 89.655%
2025-08-25 22:08:11 - Subject: sub-050, Accuracy: 90.805%
2025-08-25 22:08:12 - Subject: sub-051, Accuracy: 91.954%
2025-08-25 22:08:13 - Subject: sub-052, Accuracy: 93.023%
2025-08-25 22:08:15 - Subject: sub-053, Accuracy: 85.057%
2025-08-25 22:08:16 - Subject: sub-054, Accuracy: 93.976%
2025-08-25 22:08:17 - Subject: sub-056, Accuracy: 88.506%
2025-08-25 22:08:18 - Subject: sub-057, Accuracy: 90.805%
2025-08-25 22:08:19 - Subject: sub-058, Accuracy: 93.103%
2025-08-25 22:08:20 - Subject: sub-059, Accuracy: 89.655%
2025-08-25 22:08:21 - Subject: sub-060, Accuracy: 91.860%
2025-08-25 22:08:22 - Subject: sub-061, Accuracy: 90.805%
2025-08-25 22:08:23 - Subject: sub-062, Accuracy: 93.103%
2025-08-25 22:08:24 - Subject: sub-063, Accuracy: 94.253%
2025-08-25 22:08:25 - Subject: sub-064, Accuracy: 92.941%
