2025-08-25 22:09:02 - 
Experiment Configuration:
2025-08-25 22:09:02 - --------------------------------------------------
2025-08-25 22:09:02 - dataset: P3 Raw Data BIDS-Compatible
2025-08-25 22:09:02 - use_combined_datasets: False
2025-08-25 22:09:02 - electrode_list: common
2025-08-25 22:09:02 - classifier: ShallowFBCSPNet
2025-08-25 22:09:02 - separate_subject_classification: True
2025-08-25 22:09:02 - use_subject_layer: True
2025-08-25 22:09:02 - seeds: [1]
2025-08-25 22:09:02 - --------------------------------------------------
2025-08-25 22:09:02 - 
==================================================
2025-08-25 22:09:02 - Processing P3 Dataset
2025-08-25 22:09:02 - ==================================================
2025-08-25 22:09:22 - Subject: sub-001, Accuracy: 72.500%
2025-08-25 22:09:28 - Subject: sub-002, Accuracy: 80.000%
2025-08-25 22:09:38 - Subject: sub-003, Accuracy: 77.500%
2025-08-25 22:09:45 - Subject: sub-004, Accuracy: 95.000%
2025-08-25 22:09:52 - Subject: sub-005, Accuracy: 77.500%
2025-08-25 22:09:57 - Subject: sub-006, Accuracy: 80.000%
2025-08-25 22:10:02 - Subject: sub-007, Accuracy: 85.000%
2025-08-25 22:10:08 - Subject: sub-008, Accuracy: 82.500%
2025-08-25 22:10:18 - Subject: sub-009, Accuracy: 75.000%
2025-08-25 22:10:23 - Subject: sub-010, Accuracy: 72.500%
2025-08-25 22:10:29 - Subject: sub-011, Accuracy: 77.500%
2025-08-25 22:10:35 - Subject: sub-012, Accuracy: 82.500%
2025-08-25 22:10:40 - Subject: sub-013, Accuracy: 80.000%
2025-08-25 22:10:45 - Subject: sub-014, Accuracy: 82.500%
2025-08-25 22:10:51 - Subject: sub-015, Accuracy: 77.500%
2025-08-25 22:10:57 - Subject: sub-016, Accuracy: 82.500%
2025-08-25 22:11:02 - Subject: sub-017, Accuracy: 77.500%
2025-08-25 22:11:07 - Subject: sub-018, Accuracy: 85.000%
2025-08-25 22:11:13 - Subject: sub-019, Accuracy: 80.000%
2025-08-25 22:11:18 - Subject: sub-020, Accuracy: 77.500%
2025-08-25 22:11:26 - Subject: sub-021, Accuracy: 82.500%
2025-08-25 22:11:31 - Subject: sub-022, Accuracy: 75.000%
2025-08-25 22:11:36 - Subject: sub-023, Accuracy: 80.000%
2025-08-25 22:11:44 - Subject: sub-024, Accuracy: 82.500%
2025-08-25 22:11:49 - Subject: sub-025, Accuracy: 70.000%
2025-08-25 22:11:54 - Subject: sub-026, Accuracy: 80.000%
2025-08-25 22:12:00 - Subject: sub-027, Accuracy: 82.500%
2025-08-25 22:12:06 - Subject: sub-028, Accuracy: 80.000%
2025-08-25 22:12:11 - Subject: sub-029, Accuracy: 85.000%
2025-08-25 22:12:18 - Subject: sub-030, Accuracy: 75.000%
2025-08-25 22:12:23 - Subject: sub-031, Accuracy: 80.000%
2025-08-25 22:12:28 - Subject: sub-032, Accuracy: 77.500%
2025-08-25 22:12:33 - Subject: sub-033, Accuracy: 82.500%
2025-08-25 22:12:38 - Subject: sub-034, Accuracy: 85.000%
2025-08-25 22:12:44 - Subject: sub-035, Accuracy: 77.500%
2025-08-25 22:12:49 - Subject: sub-036, Accuracy: 70.000%
2025-08-25 22:12:54 - Subject: sub-037, Accuracy: 85.000%
2025-08-25 22:12:59 - Subject: sub-038, Accuracy: 82.500%
2025-08-25 22:13:07 - Subject: sub-039, Accuracy: 85.000%
2025-08-25 22:13:12 - Subject: sub-040, Accuracy: 72.500%
2025-08-25 22:13:12 - Subject: sub-001, Accuracy: 72.500%
2025-08-25 22:13:12 - Subject: sub-002, Accuracy: 80.000%
2025-08-25 22:13:12 - Subject: sub-003, Accuracy: 77.500%
2025-08-25 22:13:12 - Subject: sub-004, Accuracy: 95.000%
2025-08-25 22:13:12 - Subject: sub-005, Accuracy: 77.500%
2025-08-25 22:13:12 - Subject: sub-006, Accuracy: 80.000%
2025-08-25 22:13:12 - Subject: sub-007, Accuracy: 85.000%
2025-08-25 22:13:12 - Subject: sub-008, Accuracy: 82.500%
