2025-08-26 15:15:40 - 
Experiment Configuration:
2025-08-26 15:15:40 - --------------------------------------------------
2025-08-26 15:15:40 - dataset: ds005863
2025-08-26 15:15:40 - use_combined_datasets: False
2025-08-26 15:15:40 - electrode_list: all
2025-08-26 15:15:40 - classifier: lda
2025-08-26 15:15:40 - separate_subject_classification: True
2025-08-26 15:15:40 - use_subject_layer: False
2025-08-26 15:15:40 - seeds: [1]
2025-08-26 15:15:40 - --------------------------------------------------
2025-08-26 15:15:40 - 
==================================================
2025-08-26 15:15:40 - Processing Active Visual Oddball Dataset
2025-08-26 15:15:40 - ==================================================
2025-08-26 15:15:47 - Subject: sub-001, Accuracy: 92.857%
2025-08-26 15:15:48 - Subject: sub-002, Accuracy: 90.476%
2025-08-26 15:15:53 - Subject: sub-003, Accuracy: 88.095%
2025-08-26 15:15:57 - Subject: sub-004, Accuracy: 90.476%
2025-08-26 15:16:01 - Subject: sub-005, Accuracy: 92.857%
2025-08-26 15:16:01 - Subject: sub-006, Accuracy: 85.714%
2025-08-26 15:16:02 - Subject: sub-007, Accuracy: 92.857%
2025-08-26 15:16:03 - Subject: sub-008, Accuracy: 80.952%
2025-08-26 15:16:03 - Subject: sub-009, Accuracy: 83.333%
2025-08-26 15:16:04 - Subject: sub-010, Accuracy: 83.333%
2025-08-26 15:16:05 - Subject: sub-011, Accuracy: 92.857%
2025-08-26 15:16:05 - Subject: sub-012, Accuracy: 92.857%
2025-08-26 15:16:06 - Subject: sub-013, Accuracy: 92.857%
2025-08-26 15:16:06 - Subject: sub-014, Accuracy: 88.095%
2025-08-26 15:16:07 - Subject: sub-015, Accuracy: 83.333%
2025-08-26 15:16:07 - Subject: sub-016, Accuracy: 88.095%
2025-08-26 15:16:08 - Subject: sub-017, Accuracy: 92.857%
2025-08-26 15:16:08 - Subject: sub-018, Accuracy: 88.095%
2025-08-26 15:16:10 - Subject: sub-019, Accuracy: 78.571%
2025-08-26 15:16:11 - Subject: sub-020, Accuracy: 88.095%
2025-08-26 15:16:12 - Subject: sub-021, Accuracy: 85.714%
2025-08-26 15:16:12 - Subject: sub-022, Accuracy: 90.476%
2025-08-26 15:16:13 - Subject: sub-023, Accuracy: 88.095%
2025-08-26 15:16:13 - Subject: sub-024, Accuracy: 90.476%
2025-08-26 15:16:14 - Subject: sub-025, Accuracy: 88.095%
2025-08-26 15:16:14 - Subject: sub-026, Accuracy: 83.333%
2025-08-26 15:16:15 - Subject: sub-027, Accuracy: 69.048%
2025-08-26 15:16:15 - Subject: sub-028, Accuracy: 90.476%
2025-08-26 15:16:15 - Subject: sub-029, Accuracy: 85.714%
2025-08-26 15:16:16 - Subject: sub-030, Accuracy: 85.714%
2025-08-26 15:16:18 - Subject: sub-031, Accuracy: 95.238%
2025-08-26 15:16:21 - Subject: sub-032, Accuracy: 92.857%
2025-08-26 15:16:22 - Subject: sub-033, Accuracy: 90.476%
2025-08-26 15:16:22 - Subject: sub-034, Accuracy: 83.333%
2025-08-26 15:16:22 - Subject: sub-035, Accuracy: 76.190%
2025-08-26 15:16:23 - Subject: sub-036, Accuracy: 92.857%
2025-08-26 15:16:23 - Subject: sub-037, Accuracy: 88.095%
2025-08-26 15:16:24 - Subject: sub-038, Accuracy: 90.476%
2025-08-26 15:16:24 - Subject: sub-039, Accuracy: 88.095%
2025-08-26 15:16:25 - Subject: sub-040, Accuracy: 88.095%
2025-08-26 15:16:25 - Subject: sub-041, Accuracy: 90.476%
2025-08-26 15:16:26 - Subject: sub-042, Accuracy: 80.952%
2025-08-26 15:16:26 - Subject: sub-043, Accuracy: 92.857%
2025-08-26 15:16:27 - Subject: sub-044, Accuracy: 88.095%
2025-08-26 15:16:27 - Subject: sub-045, Accuracy: 90.476%
2025-08-26 15:16:28 - Subject: sub-046, Accuracy: 85.714%
2025-08-26 15:16:28 - Subject: sub-047, Accuracy: 90.476%
2025-08-26 15:16:29 - Subject: sub-048, Accuracy: 88.095%
2025-08-26 15:16:29 - Subject: sub-049, Accuracy: 85.714%
2025-08-26 15:16:30 - Subject: sub-050, Accuracy: 90.476%
2025-08-26 15:16:30 - Subject: sub-051, Accuracy: 85.714%
2025-08-26 15:16:31 - Subject: sub-052, Accuracy: 90.476%
2025-08-26 15:16:31 - Subject: sub-053, Accuracy: 83.333%
2025-08-26 15:16:32 - Subject: sub-054, Accuracy: 80.000%
2025-08-26 15:16:32 - Subject: sub-055, Accuracy: 92.105%
2025-08-26 15:16:33 - Subject: sub-056, Accuracy: 88.095%
2025-08-26 15:16:33 - Subject: sub-057, Accuracy: 88.095%
2025-08-26 15:16:33 - Subject: sub-058, Accuracy: 90.476%
2025-08-26 15:16:37 - Subject: sub-059, Accuracy: 88.095%
2025-08-26 15:16:41 - Subject: sub-060, Accuracy: 88.095%
2025-08-26 15:16:45 - Subject: sub-061, Accuracy: 88.095%
2025-08-26 15:16:45 - Subject: sub-062, Accuracy: 88.095%
2025-08-26 15:16:46 - Subject: sub-063, Accuracy: 90.476%
2025-08-26 15:16:46 - Subject: sub-064, Accuracy: 73.810%
2025-08-26 15:16:47 - Subject: sub-065, Accuracy: 90.476%
2025-08-26 15:16:48 - Subject: sub-066, Accuracy: 88.095%
2025-08-26 15:16:48 - Subject: sub-067, Accuracy: 80.952%
2025-08-26 15:16:49 - Subject: sub-068, Accuracy: 80.952%
2025-08-26 15:16:49 - Subject: sub-069, Accuracy: 83.333%
2025-08-26 15:16:54 - Subject: sub-070, Accuracy: 85.714%
2025-08-26 15:16:55 - Subject: sub-071, Accuracy: 92.857%
2025-08-26 15:16:56 - Subject: sub-073, Accuracy: 80.952%
2025-08-26 15:16:56 - Subject: sub-074, Accuracy: 88.095%
2025-08-26 15:16:57 - Subject: sub-075, Accuracy: 85.714%
