2025-08-26 15:09:17 - 
Experiment Configuration:
2025-08-26 15:09:17 - --------------------------------------------------
2025-08-26 15:09:17 - dataset: ds005863
2025-08-26 15:09:17 - use_combined_datasets: False
2025-08-26 15:09:17 - electrode_list: common
2025-08-26 15:09:17 - classifier: lda
2025-08-26 15:09:17 - separate_subject_classification: True
2025-08-26 15:09:17 - use_subject_layer: False
2025-08-26 15:09:17 - seeds: [1]
2025-08-26 15:09:17 - --------------------------------------------------
2025-08-26 15:09:17 - 
==================================================
2025-08-26 15:09:17 - Processing Active Visual Oddball Dataset
2025-08-26 15:09:17 - ==================================================
2025-08-26 15:09:24 - Subject: sub-001, Accuracy: 90.476%
2025-08-26 15:09:29 - Subject: sub-002, Accuracy: 92.857%
2025-08-26 15:09:33 - Subject: sub-003, Accuracy: 83.333%
2025-08-26 15:09:36 - Subject: sub-004, Accuracy: 88.095%
2025-08-26 15:09:40 - Subject: sub-005, Accuracy: 85.714%
2025-08-26 15:09:44 - Subject: sub-006, Accuracy: 85.714%
2025-08-26 15:09:45 - Subject: sub-007, Accuracy: 92.857%
2025-08-26 15:09:45 - Subject: sub-008, Accuracy: 78.571%
2025-08-26 15:09:49 - Subject: sub-009, Accuracy: 92.857%
2025-08-26 15:09:50 - Subject: sub-010, Accuracy: 90.476%
2025-08-26 15:09:50 - Subject: sub-011, Accuracy: 95.238%
2025-08-26 15:09:55 - Subject: sub-012, Accuracy: 92.857%
2025-08-26 15:09:55 - Subject: sub-013, Accuracy: 92.857%
2025-08-26 15:09:55 - Subject: sub-014, Accuracy: 90.476%
2025-08-26 15:09:56 - Subject: sub-015, Accuracy: 88.095%
2025-08-26 15:09:56 - Subject: sub-016, Accuracy: 85.714%
2025-08-26 15:09:57 - Subject: sub-017, Accuracy: 92.857%
2025-08-26 15:10:02 - Subject: sub-018, Accuracy: 90.476%
2025-08-26 15:10:02 - Subject: sub-019, Accuracy: 85.714%
2025-08-26 15:10:02 - Subject: sub-020, Accuracy: 88.095%
2025-08-26 15:10:03 - Subject: sub-021, Accuracy: 83.333%
2025-08-26 15:10:03 - Subject: sub-022, Accuracy: 85.714%
2025-08-26 15:10:03 - Subject: sub-023, Accuracy: 88.095%
2025-08-26 15:10:04 - Subject: sub-024, Accuracy: 90.476%
2025-08-26 15:10:04 - Subject: sub-025, Accuracy: 80.952%
2025-08-26 15:10:04 - Subject: sub-026, Accuracy: 88.095%
2025-08-26 15:10:05 - Subject: sub-027, Accuracy: 73.810%
2025-08-26 15:10:05 - Subject: sub-028, Accuracy: 90.476%
2025-08-26 15:10:06 - Subject: sub-029, Accuracy: 90.476%
2025-08-26 15:10:06 - Subject: sub-030, Accuracy: 90.476%
2025-08-26 15:10:07 - Subject: sub-031, Accuracy: 95.238%
2025-08-26 15:10:07 - Subject: sub-032, Accuracy: 88.095%
2025-08-26 15:10:07 - Subject: sub-033, Accuracy: 83.333%
2025-08-26 15:10:07 - Subject: sub-034, Accuracy: 80.952%
2025-08-26 15:10:08 - Subject: sub-035, Accuracy: 80.952%
2025-08-26 15:10:08 - Subject: sub-036, Accuracy: 92.857%
2025-08-26 15:10:08 - Subject: sub-037, Accuracy: 85.714%
2025-08-26 15:10:10 - Subject: sub-038, Accuracy: 90.476%
2025-08-26 15:10:10 - Subject: sub-039, Accuracy: 85.714%
2025-08-26 15:10:10 - Subject: sub-040, Accuracy: 90.476%
2025-08-26 15:10:11 - Subject: sub-041, Accuracy: 83.333%
2025-08-26 15:10:11 - Subject: sub-042, Accuracy: 71.429%
2025-08-26 15:10:11 - Subject: sub-043, Accuracy: 92.857%
2025-08-26 15:10:12 - Subject: sub-044, Accuracy: 88.095%
2025-08-26 15:10:12 - Subject: sub-045, Accuracy: 85.714%
2025-08-26 15:10:16 - Subject: sub-046, Accuracy: 88.095%
2025-08-26 15:10:17 - Subject: sub-047, Accuracy: 85.714%
2025-08-26 15:10:17 - Subject: sub-048, Accuracy: 88.095%
2025-08-26 15:10:17 - Subject: sub-049, Accuracy: 83.333%
2025-08-26 15:10:18 - Subject: sub-050, Accuracy: 92.857%
2025-08-26 15:10:18 - Subject: sub-051, Accuracy: 88.095%
2025-08-26 15:10:18 - Subject: sub-052, Accuracy: 90.476%
2025-08-26 15:10:19 - Subject: sub-053, Accuracy: 85.714%
2025-08-26 15:10:19 - Subject: sub-054, Accuracy: 87.500%
2025-08-26 15:10:19 - Subject: sub-055, Accuracy: 89.474%
2025-08-26 15:10:20 - Subject: sub-056, Accuracy: 85.714%
2025-08-26 15:10:20 - Subject: sub-057, Accuracy: 92.857%
2025-08-26 15:10:20 - Subject: sub-058, Accuracy: 85.714%
2025-08-26 15:10:21 - Subject: sub-059, Accuracy: 83.333%
2025-08-26 15:10:21 - Subject: sub-060, Accuracy: 78.571%
2025-08-26 15:10:22 - Subject: sub-061, Accuracy: 90.476%
2025-08-26 15:10:22 - Subject: sub-062, Accuracy: 85.714%
2025-08-26 15:10:24 - Subject: sub-063, Accuracy: 83.333%
2025-08-26 15:10:24 - Subject: sub-064, Accuracy: 80.952%
2025-08-26 15:10:24 - Subject: sub-065, Accuracy: 88.095%
2025-08-26 15:10:25 - Subject: sub-066, Accuracy: 85.714%
2025-08-26 15:10:25 - Subject: sub-067, Accuracy: 78.571%
2025-08-26 15:10:25 - Subject: sub-068, Accuracy: 80.952%
2025-08-26 15:10:26 - Subject: sub-069, Accuracy: 83.333%
2025-08-26 15:10:26 - Subject: sub-070, Accuracy: 85.714%
2025-08-26 15:10:27 - Subject: sub-071, Accuracy: 80.952%
2025-08-26 15:10:27 - Subject: sub-073, Accuracy: 83.333%
2025-08-26 15:10:27 - Subject: sub-074, Accuracy: 85.714%
2025-08-26 15:10:27 - Subject: sub-075, Accuracy: 90.476%
2025-08-26 15:10:28 - Subject: sub-076, Accuracy: 92.857%
2025-08-26 15:10:28 - Subject: sub-077, Accuracy: 83.333%
2025-08-26 15:10:28 - Subject: sub-078, Accuracy: 78.571%
2025-08-26 15:10:29 - Subject: sub-079, Accuracy: 88.095%
2025-08-26 15:10:29 - Subject: sub-080, Accuracy: 85.714%
2025-08-26 15:10:29 - Subject: sub-081, Accuracy: 90.476%
2025-08-26 15:10:31 - Subject: sub-082, Accuracy: 76.190%
2025-08-26 15:10:35 - Subject: sub-083, Accuracy: 90.476%
2025-08-26 15:10:36 - Subject: sub-111, Accuracy: 80.952%
