2025-08-26 14:59:13 - 
Experiment Configuration:
2025-08-26 14:59:13 - --------------------------------------------------
2025-08-26 14:59:13 - dataset: P3 Raw Data BIDS-Compatible
2025-08-26 14:59:13 - use_combined_datasets: False
2025-08-26 14:59:13 - electrode_list: common
2025-08-26 14:59:13 - classifier: ShallowFBCSPNet
2025-08-26 14:59:13 - separate_subject_classification: True
2025-08-26 14:59:13 - use_subject_layer: False
2025-08-26 14:59:13 - seeds: [1]
2025-08-26 14:59:13 - --------------------------------------------------
2025-08-26 14:59:13 - 
==================================================
2025-08-26 14:59:13 - Processing P3 Dataset
2025-08-26 14:59:13 - ==================================================
2025-08-26 14:59:15 - Subject: sub-001, Accuracy: 80.000%
2025-08-26 14:59:16 - Subject: sub-002, Accuracy: 80.000%
2025-08-26 14:59:19 - Subject: sub-003, Accuracy: 77.500%
2025-08-26 14:59:20 - Subject: sub-004, Accuracy: 95.000%
2025-08-26 14:59:22 - Subject: sub-005, Accuracy: 77.500%
2025-08-26 14:59:23 - Subject: sub-006, Accuracy: 80.000%
2025-08-26 14:59:24 - Subject: sub-007, Accuracy: 85.000%
2025-08-26 14:59:26 - Subject: sub-008, Accuracy: 82.500%
2025-08-26 14:59:28 - Subject: sub-009, Accuracy: 75.000%
2025-08-26 14:59:29 - Subject: sub-010, Accuracy: 72.500%
2025-08-26 14:59:31 - Subject: sub-011, Accuracy: 77.500%
2025-08-26 14:59:32 - Subject: sub-012, Accuracy: 82.500%
2025-08-26 14:59:33 - Subject: sub-013, Accuracy: 80.000%
2025-08-26 14:59:35 - Subject: sub-014, Accuracy: 82.500%
2025-08-26 14:59:36 - Subject: sub-015, Accuracy: 77.500%
2025-08-26 14:59:37 - Subject: sub-016, Accuracy: 87.500%
2025-08-26 14:59:39 - Subject: sub-017, Accuracy: 77.500%
2025-08-26 14:59:40 - Subject: sub-018, Accuracy: 85.000%
2025-08-26 14:59:41 - Subject: sub-019, Accuracy: 80.000%
2025-08-26 14:59:43 - Subject: sub-020, Accuracy: 77.500%
2025-08-26 14:59:44 - Subject: sub-021, Accuracy: 82.500%
2025-08-26 14:59:45 - Subject: sub-022, Accuracy: 75.000%
2025-08-26 14:59:47 - Subject: sub-023, Accuracy: 80.000%
2025-08-26 14:59:49 - Subject: sub-024, Accuracy: 82.500%
2025-08-26 14:59:50 - Subject: sub-025, Accuracy: 70.000%
2025-08-26 14:59:51 - Subject: sub-026, Accuracy: 80.000%
2025-08-26 14:59:52 - Subject: sub-027, Accuracy: 82.500%
2025-08-26 14:59:54 - Subject: sub-028, Accuracy: 80.000%
