repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6375,0.0,0.6375,0.0,0.0,0.0,0.5,0.6666666666666666,0.55,0.6027397260273972,0.7325,0,80
1,2,0.625,0.0,0.625,0.0,0.0,0.0,0.5,0.5961538461538461,0.775,0.6739130434782609,0.67125,0,80
1,3,0.65,0.0,0.65,0.0,0.0,0.0,0.5,0.6153846153846154,0.8,0.6956521739130435,0.7375,0,80
1,4,0.55,0.0,0.55,0.0,0.0,0.0,0.5,0.5476190476190477,0.575,0.5609756097560976,0.641875,0,80
1,5,0.7,0.0,0.7,0.0,0.0,0.0,0.5,0.7105263157894737,0.675,0.6923076923076923,0.7362500000000001,0,80
2,1,0.65,0.0,0.65,0.0,0.0,0.0,0.5,0.65,0.65,0.65,0.69375,0,80
2,2,0.65,0.0,0.65,0.0,0.0,0.0,0.5,0.625,0.75,0.6818181818181818,0.6868750000000001,0,80
2,3,0.6125,0.0,0.6125,0.0,0.0,0.0,0.5,0.6,0.675,0.6352941176470588,0.6668749999999999,0,80
2,4,0.6125,0.0,0.6125,0.0,0.0,0.0,0.5,0.6046511627906976,0.65,0.6265060240963856,0.7037500000000001,0,80
2,5,0.625,0.0,0.625,0.0,0.0,0.0,0.5,0.6190476190476191,0.65,0.6341463414634146,0.701875,0,80
3,1,0.6375,0.0,0.6375,0.0,0.0,0.0,0.5,0.627906976744186,0.675,0.6506024096385542,0.660625,0,80
3,2,0.5625,0.0,0.5625,0.0,0.0,0.0,0.5,0.5581395348837209,0.6,0.5783132530120482,0.630625,0,80
3,3,0.6,0.0,0.6,0.0,0.0,0.0,0.5,0.6,0.6,0.6,0.669375,0,80
3,4,0.6375,0.0,0.6375,0.0,0.0,0.0,0.5,0.6341463414634146,0.65,0.6419753086419753,0.6787500000000001,0,80
3,5,0.6375,0.0,0.6375,0.0,0.0,0.0,0.5,0.6122448979591837,0.75,0.6741573033707865,0.66875,0,80
4,1,0.575,0.0,0.575,0.0,0.0,0.0,0.5,0.5789473684210527,0.55,0.5641025641025641,0.610625,0,80
4,2,0.575,0.0,0.575,0.0,0.0,0.0,0.5,0.5625,0.675,0.6136363636363636,0.653125,0,80
4,3,0.625,0.0,0.625,0.0,0.0,0.0,0.5,0.6136363636363636,0.675,0.6428571428571429,0.6825,0,80
4,4,0.5875,0.0,0.5875,0.0,0.0,0.0,0.5,0.5813953488372093,0.625,0.6024096385542169,0.645,0,80
4,5,0.775,0.0,0.775,0.0,0.0,0.0,0.5,0.75,0.825,0.7857142857142857,0.81375,0,80
5,1,0.55,0.0,0.55,0.0,0.0,0.0,0.5,0.5625,0.45,0.5,0.62,0,80
5,2,0.65,0.0,0.65,0.0,0.0,0.0,0.5,0.6363636363636364,0.7,0.6666666666666666,0.6975,0,80
5,3,0.625,0.0,0.625,0.0,0.0,0.0,0.5,0.631578947368421,0.6,0.6153846153846154,0.68875,0,80
5,4,0.6125,0.0,0.6125,0.0,0.0,0.0,0.5,0.6285714285714286,0.55,0.5866666666666667,0.6599999999999999,0,80
5,5,0.6375,0.0,0.6375,0.0,0.0,0.0,0.5,0.6170212765957447,0.725,0.6666666666666666,0.6943750000000001,0,80
