repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.47375000000000006,0.0,0.0,0.0,0.5,80,0
1,2,0.5125,0.5125,0.0,0.5094339622641509,0.675,0.5806451612903226,0.49999999999999994,0.0,0.0,0.0,0.5,80,0
1,3,0.5,0.5,0.0,0.0,0.0,0.0,0.530625,0.0,0.0,0.0,0.5,80,0
1,4,0.625,0.625,0.0,0.7777777777777778,0.35,0.4827586206896552,0.6993750000000001,0.0,0.0,0.0,0.5,80,0
1,5,0.5,0.5,0.0,0.0,0.0,0.0,0.679375,0.0,0.0,0.0,0.5,80,0
2,1,0.6,0.6,0.0,0.6,0.6,0.6,0.6025000000000001,0.0,0.0,0.0,0.5,80,0
2,2,0.6,0.6,0.0,0.6176470588235294,0.525,0.5675675675675675,0.64625,0.0,0.0,0.0,0.5,80,0
2,3,0.5,0.5,0.0,0.0,0.0,0.0,0.604375,0.0,0.0,0.0,0.5,80,0
2,4,0.525,0.525,0.0,0.53125,0.425,0.4722222222222222,0.55,0.0,0.0,0.0,0.5,80,0
2,5,0.6625,0.6625,0.0,0.6511627906976745,0.7,0.6746987951807228,0.698125,0.0,0.0,0.0,0.5,80,0
3,1,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.62375,0.0,0.0,0.0,0.5,80,0
3,2,0.5,0.5,0.0,0.0,0.0,0.0,0.613125,0.0,0.0,0.0,0.5,80,0
3,3,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.544375,0.0,0.0,0.0,0.5,80,0
3,4,0.575,0.575,0.0,0.6,0.45,0.5142857142857142,0.624375,0.0,0.0,0.0,0.5,80,0
3,5,0.475,0.475,0.0,0.4791666666666667,0.575,0.5227272727272727,0.546875,0.0,0.0,0.0,0.5,80,0
4,1,0.5,0.5,0.0,0.0,0.0,0.0,0.5868749999999999,0.0,0.0,0.0,0.5,80,0
4,2,0.525,0.525,0.0,0.5294117647058824,0.45,0.4864864864864865,0.535625,0.0,0.0,0.0,0.5,80,0
4,3,0.5,0.5,0.0,0.0,0.0,0.0,0.5700000000000001,0.0,0.0,0.0,0.5,80,0
4,4,0.55,0.55,0.0,0.55,0.55,0.55,0.53125,0.0,0.0,0.0,0.5,80,0
4,5,0.5,0.5,0.0,0.0,0.0,0.0,0.4724999999999999,0.0,0.0,0.0,0.5,80,0
5,1,0.5375,0.5375,0.0,0.5555555555555556,0.375,0.44776119402985076,0.5743750000000001,0.0,0.0,0.0,0.5,80,0
5,2,0.5,0.5,0.0,0.0,0.0,0.0,0.4940625,0.0,0.0,0.0,0.5,80,0
5,3,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.6790625,0.0,0.0,0.0,0.5,80,0
5,4,0.6125,0.6125,0.0,0.6363636363636364,0.525,0.5753424657534246,0.655625,0.0,0.0,0.0,0.5,80,0
5,5,0.5375,0.5375,0.0,0.5454545454545454,0.45,0.4931506849315068,0.5743750000000001,0.0,0.0,0.0,0.5,80,0
