repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6898550724637681,0.5609756097560976,0.7072368421052632,0.6,0.6521739130434783,0.625,0.5978260869565217,0.6694677871148459,0.7993311036789298,0.7286585365853658,0.7894167180786007,82,608
1,2,0.6753623188405797,0.6292134831460674,0.6821963394342762,0.5789473684210527,0.5641025641025641,0.5714285714285714,0.6743589743589744,0.7979274611398963,0.5032679738562091,0.6172344689378757,0.791514345851335,89,601
1,3,0.6608695652173913,0.5555555555555556,0.6748768472906403,0.5945945945945946,0.5116279069767442,0.55,0.6634026927784576,0.7203389830508474,0.5629139072847682,0.6319702602230484,0.7363397113704511,81,609
1,4,0.6386066763425254,0.4657534246575342,0.6590909090909091,0.5789473684210527,0.2619047619047619,0.36065573770491804,0.5652841781874041,0.8382352941176471,0.37748344370860926,0.5205479452054794,0.8192306069937149,73,616
1,5,0.6342525399129173,0.68,0.6286644951140065,0.6153846153846154,0.5333333333333333,0.5714285714285714,0.7185185185185186,0.6653992395437263,0.5555555555555556,0.6055363321799307,0.715910176779742,75,614
2,1,0.6971014492753623,0.5223880597014925,0.7158908507223114,0.41025641025641024,0.64,0.5,0.5495238095238096,0.7474048442906575,0.675,0.7093596059113301,0.7882116336633664,67,623
2,2,0.6521739130434783,0.5625,0.6639344262295082,0.76,0.3958333333333333,0.5205479452054794,0.6048177083333335,0.6575342465753424,0.6464646464646465,0.6519524617996605,0.7307580598315422,80,610
2,3,0.6768115942028986,0.6790123456790124,0.6765188834154351,0.6739130434782609,0.7380952380952381,0.7045454545454546,0.7362637362637363,0.7022900763358778,0.6072607260726073,0.6513274336283186,0.7645009598999115,81,609
2,4,0.6821480406386067,0.6309523809523809,0.6892561983471074,0.6923076923076923,0.43902439024390244,0.5373134328358209,0.6494611457742484,0.8042328042328042,0.5016501650165016,0.6178861788617886,0.788451030533517,84,605
2,5,0.7097242380261248,0.6022727272727273,0.7254575707154742,0.5957446808510638,0.6363636363636364,0.6153846153846154,0.6771694214876033,0.6717171717171717,0.8837209302325582,0.763271162123386,0.8228571428571428,88,601
3,1,0.6347826086956522,0.5416666666666666,0.6498316498316499,0.5245901639344263,0.6808510638297872,0.5925925925925926,0.5649153278332609,0.6666666666666666,0.6040268456375839,0.6338028169014085,0.7219186468347544,96,594
3,2,0.7304347826086957,0.6590909090909091,0.7408637873754153,0.6521739130434783,0.6818181818181818,0.6666666666666666,0.7159090909090909,0.7272727272727273,0.770764119601329,0.7483870967741936,0.8202337722541695,88,602
3,3,0.6782608695652174,0.6285714285714286,0.6838709677419355,0.6346153846153846,0.825,0.717391304347826,0.7308333333333333,0.6332518337408313,0.8491803278688524,0.7254901960784313,0.7777777777777779,70,620
3,4,0.7445573294629898,0.6590909090909091,0.757071547420965,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6831578947368421,0.7484472049689441,0.7875816993464052,0.767515923566879,0.8157305860197186,88,601
3,5,0.6661828737300436,0.4827586206896552,0.6830427892234548,0.5454545454545454,0.1935483870967742,0.2857142857142857,0.5041816009557945,0.8202247191011236,0.46496815286624205,0.5934959349593496,0.7965500612831281,58,631
4,1,0.717391304347826,0.5952380952380952,0.7343234323432343,0.7027027027027027,0.5306122448979592,0.6046511627906976,0.6478134110787171,0.7606177606177607,0.6655405405405406,0.7099099099099099,0.8253160418483,84,606
4,2,0.6550724637681159,0.5568181818181818,0.6694352159468439,0.5142857142857142,0.45,0.48,0.5744791666666667,0.740909090909091,0.5344262295081967,0.6209523809523809,0.7624993100402935,88,602
4,3,0.6681159420289855,0.6285714285714286,0.6725806451612903,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.6919934640522876,0.7731958762886598,0.4854368932038835,0.5964214711729622,0.7783223550713327,70,620
4,4,0.683599419448476,0.5416666666666666,0.700162074554295,0.6,0.46153846153846156,0.5217391304347826,0.550893550893551,0.7255639097744361,0.6327868852459017,0.6760070052539404,0.7647225725094576,72,617
4,5,0.5007256894049347,0.4186046511627907,0.5124378109452736,0.4186046511627907,1.0,0.5901639344262295,0.5311111111111111,0.5124378109452736,1.0,0.6776315789473685,0.597445126918081,86,603
5,1,0.7072463768115942,0.5862068965517241,0.724709784411277,0.6285714285714286,0.4888888888888889,0.55,0.635978835978836,0.7218543046357616,0.7266666666666667,0.7242524916943521,0.8055005500550055,87,603
5,2,0.636231884057971,0.5632183908045977,0.6467661691542289,0.6333333333333333,0.7037037037037037,0.6666666666666666,0.5852974186307519,0.5851528384279476,0.9209621993127147,0.7156208277703605,0.7859943607366288,87,603
5,3,0.6855072463768116,0.5466666666666666,0.7024390243902439,0.48214285714285715,0.84375,0.6136363636363636,0.6061046511627907,0.6511627906976745,0.8945686900958466,0.7537012113055181,0.8111313289465332,75,615
5,4,0.49927431059506533,0.4444444444444444,0.506578947368421,0.4444444444444444,1.0,0.6153846153846154,0.5555555555555556,0.506578947368421,1.0,0.6724890829694323,0.602137445887446,81,608
5,5,0.6792452830188679,0.5571428571428572,0.6930533117932148,0.5357142857142857,0.45454545454545453,0.4918032786885246,0.5651105651105651,0.7401574803149606,0.6025641025641025,0.6643109540636042,0.7614006514657979,70,619
