[22:59:56] Latest: P3=0.594 | AVO=0.679
[23:00:56] Latest: P3=0.531 | AVO=0.675
[23:01:56] Latest: P3=0.500 | AVO=0.669
[23:02:56] Latest: P3=0.469 | AVO=0.689
[23:03:56] Latest: P3=0.469 | AVO=0.662
[23:04:56] Latest: P3=0.469 | AVO=0.639
[23:05:56] Latest: P3=0.500 | AVO=0.669
[23:06:56] Latest: P3=0.576 | AVO=0.661
[23:07:56] Latest: P3=0.545 | AVO=0.648
[23:08:56] Latest: P3=0.636 | AVO=0.661
[23:09:56] Latest: P3=0.576 | AVO=0.635
[23:10:56] Latest: P3=0.576 | AVO=0.628
[23:11:56] Latest: P3=0.545 | AVO=0.651
[23:12:56] Latest: P3=0.576 | AVO=0.625
[23:13:56] Latest: P3=0.606 | AVO=0.638
[23:14:56] Latest: P3=0.606 | AVO=0.638
[23:15:56] Latest: P3=0.500 | AVO=0.670
[23:16:56] Latest: P3=0.647 | AVO=0.670
[23:17:56] Latest: P3=0.676 | AVO=0.670
[23:18:56] Latest: P3=0.765 | AVO=0.690
[23:19:56] Latest: P3=0.735 | AVO=0.663
[23:20:56] Latest: P3=0.765 | AVO=0.696
[23:21:56] Latest: P3=0.765 | AVO=0.693
[23:22:56] Latest: P3=0.706 | AVO=0.690
[23:23:56] Latest: P3=0.706 | AVO=0.710
[23:24:56] Latest: P3=0.765 | AVO=0.713
[23:25:56] Latest: P3=0.618 | AVO=0.680
[23:26:56] Latest: P3=0.676 | AVO=0.706
[23:27:56] Latest: P3=0.429 | AVO=0.709
[23:28:56] Latest: P3=0.457 | AVO=0.679
[23:29:56] Latest: P3=0.514 | AVO=0.672
[23:30:56] Latest: P3=0.486 | AVO=0.669
[23:31:56] Latest: P3=0.457 | AVO=0.692
[23:32:56] Latest: P3=0.486 | AVO=0.675
[23:33:56] Latest: P3=0.543 | AVO=0.675
[23:34:56] Latest: P3=0.543 | AVO=0.695
[23:35:56] Latest: P3=0.667 | AVO=0.628
