repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.4871875,0,160
1,2,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.57734375,0,160
1,3,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6037499999999999,0,160
1,4,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.52828125,0,160
1,5,0.70625,0.0,0.70625,0.0,0.0,0.0,0.5,0.6736842105263158,0.8,0.7314285714285714,0.733125,0,160
2,1,0.64375,0.0,0.64375,0.0,0.0,0.0,0.5,0.6095238095238096,0.8,0.6918918918918919,0.69953125,0,160
2,2,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.44656250000000003,0,160
2,3,0.6875,0.0,0.6875,0.0,0.0,0.0,0.5,0.75,0.5625,0.6428571428571429,0.73453125,0,160
2,4,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.488828125,0,160
2,5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5928125,0,160
3,1,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.563359375,0,160
3,2,0.64375,0.0,0.64375,0.0,0.0,0.0,0.5,0.6666666666666666,0.575,0.6174496644295302,0.70125,0,160
3,3,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.49124999999999996,0,160
3,4,0.59375,0.0,0.59375,0.0,0.0,0.0,0.5,0.5903614457831325,0.6125,0.6012269938650306,0.6564062500000001,0,160
3,5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.4809375,0,160
4,1,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.55734375,0,160
4,2,0.65625,0.0,0.65625,0.0,0.0,0.0,0.5,0.6436781609195402,0.7,0.6706586826347305,0.704375,0,160
4,3,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.64234375,0,160
4,4,0.5875,0.0,0.5875,0.0,0.0,0.0,0.5,0.6206896551724138,0.45,0.5217391304347826,0.63953125,0,160
4,5,0.68125,0.0,0.68125,0.0,0.0,0.0,0.5,0.6526315789473685,0.775,0.7085714285714285,0.7346875000000002,0,160
5,1,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.5374218749999999,0,160
5,2,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.42078125,0,160
5,3,0.65,0.0,0.65,0.0,0.0,0.0,0.5,0.6276595744680851,0.7375,0.6781609195402298,0.7421875,0,160
5,4,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.5281250000000001,0,160
5,5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.546953125,0,160
