repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5,0.5,0.0,0.0,0.0,0.0,0.517890625,0.0,0.0,0.0,0.5,160,0
1,2,0.63125,0.63125,0.0,0.6909090909090909,0.475,0.562962962962963,0.6292187499999999,0.0,0.0,0.0,0.5,160,0
1,3,0.59375,0.59375,0.0,0.6363636363636364,0.4375,0.5185185185185185,0.6339062500000001,0.0,0.0,0.0,0.5,160,0
1,4,0.55625,0.55625,0.0,0.5555555555555556,0.5625,0.5590062111801242,0.5546875,0.0,0.0,0.0,0.5,160,0
1,5,0.6125,0.6125,0.0,0.5849056603773585,0.775,0.6666666666666666,0.6345312500000001,0.0,0.0,0.0,0.5,160,0
2,1,0.5375,0.5375,0.0,0.5416666666666666,0.4875,0.5131578947368421,0.56609375,0.0,0.0,0.0,0.5,160,0
2,2,0.5625,0.5625,0.0,0.5490196078431373,0.7,0.6153846153846154,0.5796874999999999,0.0,0.0,0.0,0.5,160,0
2,3,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.6403125000000001,0.0,0.0,0.0,0.5,160,0
2,4,0.54375,0.54375,0.0,0.5360824742268041,0.65,0.5875706214689266,0.5560937499999999,0.0,0.0,0.0,0.5,160,0
2,5,0.61875,0.61875,0.0,0.6376811594202898,0.55,0.5906040268456376,0.63671875,0.0,0.0,0.0,0.5,160,0
3,1,0.6125,0.6125,0.0,0.618421052631579,0.5875,0.6025641025641025,0.66234375,0.0,0.0,0.0,0.5,160,0
3,2,0.5625,0.5625,0.0,0.5531914893617021,0.65,0.5977011494252874,0.5553125,0.0,0.0,0.0,0.5,160,0
3,3,0.63125,0.63125,0.0,0.6129032258064516,0.7125,0.6589595375722543,0.6771874999999998,0.0,0.0,0.0,0.5,160,0
3,4,0.5875,0.5875,0.0,0.5972222222222222,0.5375,0.5657894736842105,0.6315625,0.0,0.0,0.0,0.5,160,0
3,5,0.55,0.55,0.0,0.5645161290322581,0.4375,0.49295774647887325,0.57953125,0.0,0.0,0.0,0.5,160,0
4,1,0.5,0.5,0.0,0.0,0.0,0.0,0.557421875,0.0,0.0,0.0,0.5,160,0
4,2,0.575,0.575,0.0,0.5576923076923077,0.725,0.6304347826086957,0.6321875,0.0,0.0,0.0,0.5,160,0
4,3,0.54375,0.54375,0.0,0.5897435897435898,0.2875,0.3865546218487395,0.556875,0.0,0.0,0.0,0.5,160,0
4,4,0.5,0.5,0.0,0.0,0.0,0.0,0.59125,0.0,0.0,0.0,0.5,160,0
4,5,0.5,0.5,0.0,0.0,0.0,0.0,0.6110937499999999,0.0,0.0,0.0,0.5,160,0
5,1,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.5290625,0.0,0.0,0.0,0.5,160,0
5,2,0.6,0.6,0.0,0.6428571428571429,0.45,0.5294117647058824,0.62484375,0.0,0.0,0.0,0.5,160,0
5,3,0.55625,0.55625,0.0,0.6363636363636364,0.2625,0.37168141592920356,0.61109375,0.0,0.0,0.0,0.5,160,0
5,4,0.5,0.5,0.0,0.0,0.0,0.0,0.5825,0.0,0.0,0.0,0.5,160,0
5,5,0.5,0.5,0.0,0.5,0.55,0.5238095238095238,0.5259375,0.0,0.0,0.0,0.5,160,0
