repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.7594771241830065,0.6536312849162011,0.7918088737201365,0.6813186813186813,0.6526315789473685,0.6666666666666666,0.6961152882205514,0.7796610169491526,0.8013937282229965,0.7903780068728522,0.8543460781000548,179,586
1,2,0.7241830065359477,0.5714285714285714,0.7649006622516556,0.5396825396825397,0.4594594594594595,0.49635036496350365,0.5891581236408823,0.8051470588235294,0.711038961038961,0.7551724137931034,0.8474025974025974,161,604
1,3,0.7503267973856209,0.6068965517241379,0.7838709677419354,0.6172839506172839,0.6578947368421053,0.6369426751592356,0.6371090770404271,0.7167919799498746,0.9315960912052117,0.8101983002832861,0.876783465673164,145,620
1,4,0.6941176470588235,0.618421052631579,0.7128874388254486,0.5666666666666667,0.7285714285714285,0.6375,0.6620209059233448,0.6560364464692483,0.9201277955271565,0.7659574468085106,0.8467838125665601,152,613
1,5,0.7905759162303665,0.5950920245398773,0.8435940099833611,0.6610169491525424,0.4588235294117647,0.5416666666666666,0.5926093514328808,0.8536585365853658,0.8249158249158249,0.839041095890411,0.872053872053872,163,601
2,1,0.7045751633986929,0.5743243243243243,0.7358184764991896,0.5050505050505051,0.78125,0.6134969325153374,0.6415550595238095,0.6695842450765864,0.9622641509433962,0.7896774193548387,0.8646431501230515,148,617
2,2,0.7542483660130719,0.5679012345679012,0.8043117744610282,0.627906976744186,0.5869565217391305,0.6067415730337079,0.6167701863354038,0.7590361445783133,0.8689655172413793,0.8102893890675241,0.8765891814476149,162,603
2,3,0.7908496732026143,0.6037735849056604,0.8399339933993399,0.6,0.5769230769230769,0.5882352941176471,0.6416587527698638,0.8095238095238095,0.8918032786885246,0.8486739469578783,0.8792440498883505,159,606
2,4,0.7895424836601307,0.5822784810126582,0.8434925864909391,0.576271186440678,0.4533333333333333,0.5074626865671642,0.6285943775100402,0.8736842105263158,0.8084415584415584,0.8397976391231029,0.8950071667462972,158,607
2,5,0.7041884816753927,0.5895953757225434,0.7377326565143824,0.5769230769230769,0.8241758241758241,0.6787330316742082,0.5934065934065934,0.6683168316831684,0.9278350515463918,0.7769784172661871,0.8684994272623139,173,591
3,1,0.734640522875817,0.5542857142857143,0.788135593220339,0.5247524752475248,0.6385542168674698,0.5760869565217391,0.6278156102671556,0.752906976744186,0.8662207357859532,0.8055987558320373,0.8581755910308129,175,590
3,2,0.7660130718954249,0.6163522012578616,0.8052805280528053,0.6164383561643836,0.5769230769230769,0.5960264900662252,0.6620766065210509,0.8,0.8157894736842105,0.8078175895765473,0.8693033286859534,159,606
3,3,0.788235294117647,0.6405228758169934,0.8251633986928104,0.6533333333333333,0.6282051282051282,0.6405228758169934,0.6745299145299146,0.7796610169491526,0.9049180327868852,0.8376327769347496,0.8897100443210337,153,612
3,4,0.7516339869281046,0.5308641975308642,0.8109452736318408,0.4936708860759494,0.52,0.5064935064935064,0.5656704980842912,0.7869822485207101,0.8636363636363636,0.8235294117647058,0.8731124807395995,162,603
3,5,0.7643979057591623,0.5894039735099338,0.8075040783034257,0.6764705882352942,0.5348837209302325,0.5974025974025974,0.6915921288014312,0.7542857142857143,0.8918918918918919,0.8173374613003096,0.8766732031716258,151,613
4,1,0.7411764705882353,0.4936708860759494,0.8056013179571664,0.5434782608695652,0.2976190476190476,0.38461538461538464,0.5986164736164737,0.8383458646616542,0.7483221476510067,0.7907801418439716,0.8683130253469733,158,607
4,2,0.7516339869281046,0.5506329113924051,0.8039538714991763,0.49514563106796117,0.7285714285714285,0.5895953757225434,0.6048701298701298,0.7587131367292225,0.907051282051282,0.8262773722627738,0.8824043893959148,158,607
4,3,0.7333333333333333,0.5796178343949044,0.7730263157894737,0.6615384615384615,0.4942528735632184,0.5657894736842105,0.6402298850574712,0.8347457627118644,0.6655405405405406,0.7406015037593985,0.8535386347886348,157,608
4,4,0.7673202614379085,0.6,0.8115702479338843,0.5714285714285714,0.5405405405405406,0.5555555555555556,0.6429918290383407,0.7945619335347432,0.8511326860841424,0.821875,0.8678059127088255,160,605
4,5,0.7735602094240838,0.688622754491018,0.7973199329983249,0.6813186813186813,0.7294117647058823,0.7045454545454546,0.7243902439024391,0.7634730538922155,0.8585858585858586,0.8082408874801902,0.8908024691358025,167,597
5,1,0.7725490196078432,0.5487804878048781,0.8336106489184693,0.6226415094339622,0.3793103448275862,0.4714285714285714,0.606806986117331,0.8445229681978799,0.8101694915254237,0.8269896193771626,0.8696466157084304,164,601
5,2,0.7712418300653595,0.6125,0.8132231404958677,0.6582278481012658,0.5977011494252874,0.6265060240963856,0.6595811683199496,0.7630057803468208,0.8949152542372881,0.8237129485179407,0.8958665937670859,160,605
5,3,0.7202614379084967,0.6086956521739131,0.75,0.6818181818181818,0.379746835443038,0.4878048780487805,0.6989811670268601,0.8311688311688312,0.631578947368421,0.7177570093457943,0.8424122807017546,161,604
5,4,0.7398692810457517,0.5595238095238095,0.7906197654941374,0.5545454545454546,0.7093023255813954,0.6224489795918368,0.619540555870675,0.7299465240641712,0.9191919191919192,0.8137108792846498,0.9064309764309765,168,597
5,5,0.6465968586387435,0.6054421768707483,0.6564019448946515,0.5333333333333333,0.39344262295081966,0.4528301886792453,0.627144491040793,0.8758620689655172,0.3956386292834891,0.5450643776824035,0.8370274480087564,147,617
