repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6300653594771242,0.5810055865921788,0.6450511945392492,0.6086956521739131,0.5894736842105263,0.5989304812834224,0.6028822055137845,0.6253968253968254,0.686411149825784,0.6544850498338871,0.7136680922470955,179,586
1,2,0.6091503267973856,0.5962732919254659,0.6125827814569537,0.5494505494505495,0.6756756756756757,0.6060606060606061,0.6804908356632494,0.5767634854771784,0.9025974025974026,0.7037974683544304,0.7402048964548965,161,604
1,3,0.6653594771241831,0.6758620689655173,0.6629032258064517,0.6986301369863014,0.6710526315789473,0.6845637583892618,0.7572463768115942,0.6416184971098265,0.7231270358306189,0.6799387442572741,0.7295272189903321,145,620
1,4,0.6209150326797385,0.5986842105263158,0.6264274061990212,0.5584415584415584,0.6142857142857143,0.5850340136054422,0.6498257839721254,0.5850202429149798,0.9233226837060703,0.7162329615861216,0.7189350372736953,152,613
1,5,0.5863874345549738,0.6012269938650306,0.5823627287853578,0.6351351351351351,0.5529411764705883,0.5911949685534591,0.6437405731523378,0.5452755905511811,0.9326599326599326,0.6881987577639752,0.7676546163388268,163,601
2,1,0.6601307189542484,0.6486486486486487,0.6628849270664505,0.6,0.5625,0.5806451612903225,0.6651785714285714,0.7165354330708661,0.5723270440251572,0.6363636363636364,0.7361225047853432,148,617
2,2,0.673202614379085,0.6481481481481481,0.6799336650082919,0.7397260273972602,0.5869565217391305,0.6545454545454545,0.6945652173913044,0.6456456456456456,0.7413793103448276,0.6902086677367576,0.7310565164701994,162,603
2,3,0.6549019607843137,0.6415094339622641,0.6584158415841584,0.6206896551724138,0.6923076923076923,0.6545454545454545,0.6655587211142767,0.6689655172413793,0.6360655737704918,0.6521008403361346,0.7190131256467512,159,606
2,4,0.6509803921568628,0.6075949367088608,0.6622734761120264,0.5802469135802469,0.6266666666666667,0.6025641025641025,0.6870682730923694,0.6330749354005168,0.7954545454545454,0.7050359712230216,0.7223102983972549,158,607
2,5,0.6623036649214659,0.6647398843930635,0.6615905245346869,0.6853932584269663,0.6703296703296703,0.6777777777777777,0.6802465826856071,0.6374622356495468,0.7250859106529209,0.6784565916398714,0.7278121420389462,173,591
3,1,0.615686274509804,0.5942857142857143,0.6220338983050847,0.5714285714285714,0.5783132530120482,0.5748502994011976,0.6182556312205343,0.7111111111111111,0.4280936454849498,0.534446764091858,0.7291659483501706,175,590
3,2,0.6352941176470588,0.5974842767295597,0.6452145214521452,0.5813953488372093,0.6410256410256411,0.6097560975609757,0.682494460272238,0.6642066420664207,0.5921052631578947,0.6260869565217392,0.7088489020564657,159,606
3,3,0.6718954248366014,0.6405228758169934,0.6797385620915033,0.6352941176470588,0.6923076923076923,0.6625766871165644,0.6700854700854701,0.7056603773584905,0.6131147540983607,0.656140350877193,0.7484380840497676,153,612
3,4,0.6366013071895424,0.6234567901234568,0.6401326699834162,0.5945945945945946,0.5866666666666667,0.5906040268456377,0.6963984674329501,0.6716981132075471,0.577922077922078,0.6212914485165794,0.7074069997798813,162,603
3,5,0.6413612565445026,0.6291390728476821,0.6443719412724307,0.6829268292682927,0.6511627906976745,0.6666666666666667,0.7026833631484793,0.5919811320754716,0.847972972972973,0.6972222222222221,0.7342058146474549,151,613
4,1,0.6522875816993464,0.6139240506329114,0.6622734761120264,0.6263736263736264,0.6785714285714286,0.6514285714285715,0.6774453024453024,0.624,0.785234899328859,0.6953937592867756,0.7336287222258422,158,607
4,2,0.6627450980392157,0.6772151898734177,0.6589785831960461,0.6610169491525424,0.5571428571428572,0.6046511627906977,0.6910714285714287,0.6462395543175488,0.7435897435897436,0.6915052160953801,0.7211212516297262,158,607
4,3,0.6444444444444445,0.6496815286624203,0.6430921052631579,0.7424242424242424,0.5632183908045977,0.6405228758169934,0.7032840722495893,0.598014888337469,0.8141891891891891,0.6895565092989986,0.7451489951489951,157,608
4,4,0.6379084967320261,0.6,0.6479338842975206,0.5694444444444444,0.5540540540540541,0.5616438356164383,0.6516341923318668,0.6889763779527559,0.5663430420711975,0.6216696269982238,0.7165988804338319,160,605
4,5,0.6950261780104712,0.6467065868263473,0.7085427135678392,0.6444444444444445,0.6823529411764706,0.6628571428571428,0.7011477761836442,0.7573221757322176,0.6094276094276094,0.6753731343283583,0.774567901234568,167,597
5,1,0.6679738562091503,0.6341463414634146,0.6772046589018302,0.6626506024096386,0.632183908045977,0.6470588235294118,0.6884609643230333,0.6747404844290658,0.6610169491525424,0.6678082191780823,0.7341420183892766,164,601
5,2,0.6509803921568628,0.65,0.6512396694214876,0.6962025316455697,0.632183908045977,0.6626506024096386,0.6893402613761612,0.6891891891891891,0.5186440677966102,0.5918762088974855,0.7272061235647895,160,605
5,3,0.6366013071895424,0.6149068322981367,0.6423841059602649,0.6049382716049383,0.620253164556962,0.6125,0.6668724915097253,0.7444444444444445,0.4407894736842105,0.5537190082644627,0.7389254385964913,161,604
5,4,0.6483660130718955,0.6666666666666666,0.6432160804020101,0.6666666666666666,0.6976744186046512,0.6818181818181818,0.701219512195122,0.675,0.5454545454545454,0.6033519553072625,0.7296296296296296,168,597
5,5,0.6570680628272252,0.6394557823129252,0.6612641815235009,0.5689655172413793,0.5409836065573771,0.5546218487394958,0.6410598551277163,0.724,0.5638629283489096,0.6339754816112083,0.7302664814347057,147,617
