metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.5892426273198059,0.5964315878214318,-0.007188960501625857,-0.982347720699023,0.33572851663758285,-0.1964695441398046,negligible,False
p3_accuracy,25,0.5800449312652609,0.5945116520491607,-0.014466720783899852,-2.0747636501113513,0.04889796490753148,-0.4149527300222703,small,True
avo_accuracy,25,0.6632808971914984,0.6120372703342553,0.05124362685724328,2.591077644230495,0.01602416905728667,0.518215528846099,medium,True
p3_precision,25,0.5729548944775578,0.6127317062166115,-0.03977681173905376,-4.230011541699141,0.0002942174465600494,-0.8460023083398283,large,True
p3_recall,25,0.6951596984451772,0.5314010264956297,0.16375867194954752,4.75865039806916,7.670890981226833e-05,0.9517300796138322,large,True
p3_f1,25,0.6174340076403991,0.5572904440975043,0.06014356354289481,3.6953975173783027,0.0011332656891007427,0.7390795034756605,medium,True
p3_auc,25,0.6294531930667195,0.6445115387546606,-0.015058345687941123,-2.4889716821133865,0.02014221238838193,-0.49779433642267734,small,True
avo_precision,25,0.6997565921127891,0.6220520217261813,0.07770457038660779,3.2481763988280568,0.0034170826280314945,0.6496352797656114,medium,True
avo_recall,25,0.6134286698322318,0.5647625403943756,0.04866612943785629,1.3579055283549757,0.18712411110574576,0.27158110567099514,small,False
avo_f1,25,0.6380367541127782,0.5875311561135041,0.050505597999274024,1.909820037220807,0.0681790521312032,0.38196400744416137,small,False
avo_auc,25,0.7418009609125683,0.6602208819370528,0.08158007897551568,5.317793562618535,1.8625887721042002e-05,1.063558712523707,large,True
