metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.5955979534038065,0.6124376949763599,-0.01683974157255352,-1.3161726380887437,0.2005490105855464,-0.26323452761774874,small,False
p3_accuracy,25,0.5931230999895195,0.6150132768531442,-0.021890176863624683,-1.6948841920503959,0.10303573254905544,-0.3389768384100792,small,False
avo_accuracy,25,0.6148056561517855,0.5926691880226843,0.022136468129101326,1.1104962130876936,0.27778774691123154,0.22209924261753872,small,False
p3_precision,25,0.6670973426130401,0.5419899559518377,0.12510738666120227,2.4995697153729033,0.019673008989541847,0.4999139430745807,small,True
p3_recall,25,0.39147166535633227,0.5491883872820903,-0.15771672192575806,-2.4041523078283817,0.024288010173775156,-0.4808304615656763,small,True
p3_f1,25,0.47865051120664004,0.5345972603418077,-0.05594674913516759,-1.0235957424176503,0.31623360440234205,-0.20471914848353007,small,False
p3_auc,25,0.6462199051347091,0.6755019014950149,-0.029281996360305807,-2.1159616340810468,0.04491369930779296,-0.42319232681620933,small,True
avo_precision,25,0.6210790958710127,0.5255332288070839,0.09554586706392884,1.8071415875979753,0.08329351499593177,0.36142831751959503,small,False
avo_recall,25,0.6038556799257612,0.5248963921750263,0.07895928775073484,1.2934260809075682,0.20817486402731872,0.25868521618151363,small,False
avo_f1,25,0.6072714173536023,0.5093926580135772,0.09787875934002507,1.88598801320992,0.07145606166993533,0.37719760264198404,small,False
avo_auc,25,0.6815244159231882,0.6609688713834221,0.020555544539766154,0.9920767119972506,0.3310576577425357,0.19841534239945013,negligible,False
