metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.6289855072463768,0.522,0.1069855072463768,7.8274743531130175,4.6320686168373594e-08,1.5654948706226037,large,True
p3_accuracy,25,0.6128014164819143,0.0,0.6128014164819143,71.58030271061041,1.7036654709476836e-29,14.316060542122083,large,True
avo_accuracy,25,0.6312555945565136,0.522,0.10925559455651357,7.945492369039305,3.561218482490198e-08,1.589098473807861,large,True
p3_precision,25,0.628139599699064,0.0,0.628139599699064,38.10514909352927,5.547358066448883e-23,7.621029818705853,large,True
p3_recall,25,0.6001359577858523,0.0,0.6001359577858523,21.773124411202847,2.5837782794472004e-17,4.354624882240569,large,True
p3_f1,25,0.5999019683287125,0.0,0.5999019683287125,42.84941594077797,3.4521556284852176e-24,8.569883188155593,large,True
p3_auc,25,0.6661472385528555,0.5,0.16614723855285546,15.010580242710246,1.0691269365862756e-13,3.0021160485420495,large,True
avo_precision,25,0.6154412656909546,0.3435281178578872,0.27191314783306736,4.7802379605665575,7.261323843392902e-05,0.9560475921133117,large,True
avo_recall,25,0.7625396707839367,0.537,0.22553967078393672,2.468834140152519,0.021062467038048222,0.4937668280305038,small,True
avo_f1,25,0.6705425229872123,0.40736373061595654,0.2631787923712555,4.159396430459399,0.0003519520069958088,0.8318792860918797,large,True
avo_auc,25,0.7151233379658214,0.52545,0.1896733379658214,8.355272554394148,1.450147848295008e-08,1.6710545108788295,large,True
