metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.522,0.6124376949763599,-0.09043769497636,-6.9680056879691,3.3210125494814265e-07,-1.39360113759382,large,True
p3_accuracy,25,0.0,0.6150132768531442,-0.6150132768531442,-50.155201533235186,8.216370827984657e-26,-10.031040306647037,large,True
avo_accuracy,25,0.522,0.5926691880226843,-0.07066918802268422,-5.187017614502209,2.589975968951825e-05,-1.0374035229004417,large,True
p3_precision,25,0.0,0.5419899559518377,-0.5419899559518377,-11.038274580044558,6.902541260917853e-11,-2.2076549160089116,large,True
p3_recall,25,0.0,0.5491883872820903,-0.5491883872820903,-9.834435587093108,6.803596929310936e-10,-1.9668871174186218,large,True
p3_f1,25,0.0,0.5345972603418077,-0.5345972603418077,-10.947465627722048,8.154283275520864e-11,-2.1894931255444097,large,True
p3_auc,25,0.5,0.6755019014950149,-0.17550190149501485,-12.484650636087588,5.482820554921386e-12,-2.4969301272175173,large,True
avo_precision,25,0.3435281178578872,0.5255332288070839,-0.1820051109491966,-2.2174371408478293,0.03631418278933592,-0.44348742816956593,small,True
avo_recall,25,0.537,0.5248963921750263,0.012103607824973687,0.09971021244850943,0.9214026146374682,0.019942042489701887,negligible,False
avo_f1,25,0.40736373061595654,0.5093926580135772,-0.10202892739762066,-1.1367921545591246,0.26684867262491874,-0.22735843091182492,small,False
avo_auc,25,0.52545,0.6609688713834221,-0.13551887138342203,-5.5561332329905415,1.0244049805027441e-05,-1.1112266465981082,large,True
