metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.624,0.522,0.102,8.164355484697644,2.197818193662458e-08,1.6328710969395288,large,True
p3_accuracy,25,0.0,0.0,0.0,,,0.0,negligible,False
avo_accuracy,25,0.624,0.522,0.102,8.164355484697644,2.197818193662458e-08,1.6328710969395288,large,True
p3_precision,25,0.0,0.0,0.0,,,0.0,negligible,False
p3_recall,25,0.0,0.0,0.0,,,0.0,negligible,False
p3_f1,25,0.0,0.0,0.0,,,0.0,negligible,False
p3_auc,25,0.5,0.5,0.0,,,0.0,negligible,False
avo_precision,25,0.6172000557718531,0.3435281178578872,0.2736719379139659,5.1507944579843015,2.838127219460544e-05,1.0301588915968602,large,True
avo_recall,25,0.6559999999999999,0.537,0.11900000000000001,1.287226376325573,0.21029164513753384,0.2574452752651146,small,False
avo_f1,25,0.6337002318168033,0.40736373061595654,0.22633650120084678,3.5452865638953277,0.00164687432215105,0.7090573127790656,medium,True
avo_auc,25,0.6818500000000001,0.52545,0.15639999999999998,7.502660987671804,9.641792202101689e-08,1.5005321975343608,large,True
