metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.7473819251959074,0.630944299267617,0.11643762592829038,16.4344359540256,1.462461732206626e-14,3.2868871908051203,large,True
p3_accuracy,25,0.589690318436098,0.619953855032422,-0.030263536596323984,-3.682507506589981,0.0011703570116226377,-0.7365015013179961,medium,True
avo_accuracy,25,0.7892282999107916,0.6749069191227046,0.11432138078808698,11.092536159842952,6.251090396685256e-11,2.218507231968591,large,True
p3_precision,25,0.5968104842043234,0.6390554877506016,-0.04224500354627827,-2.8220748177697437,0.009432266147705346,-0.5644149635539487,medium,True
p3_recall,25,0.5731393826223057,0.5708014679258879,0.0023379146964177732,0.0669187562881294,0.9472007432848355,0.013383751257625882,negligible,False
p3_f1,25,0.5740579281453266,0.5962269466394451,-0.022169018494118405,-1.221702878986878,0.23368484444631116,-0.24434057579737564,small,False
p3_auc,25,0.6377534161547243,0.6700913125058676,-0.03233789635114344,-3.5708289639342916,0.001545713055925757,-0.7141657927868584,medium,True
avo_precision,25,0.7799848864375218,0.6728731577336063,0.10711172870391557,9.350655956145543,1.793855827550971e-09,1.8701311912291088,large,True
avo_recall,25,0.8269186084830431,0.683211642038525,0.14370696644451805,4.278546083176714,0.00026009858280819727,0.8557092166353427,large,True
avo_f1,25,0.7933235924152133,0.6752251626491532,0.1180984297660599,6.854446846322759,4.3390070331128926e-07,1.3708893692645518,large,True
avo_auc,25,0.8705030318082423,0.7367310863508982,0.13377194545734397,16.256549563011756,1.8600563754693898e-14,3.2513099126023515,large,True
