metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.6059611949491839,0.7232262259179413,-0.1172650309687575,-8.2198938332607,1.946449840229973e-08,-1.6439787666521404,large,True
p3_accuracy,25,0.6002801412653295,0.6074112164912981,-0.007131075225968521,-0.5396025452240937,0.5944427302758899,-0.10792050904481874,negligible,False
avo_accuracy,25,0.6075000090070537,0.754276091400238,-0.1467760823931842,-8.693721160517029,7.021970419227439e-09,-1.7387442321034057,large,True
p3_precision,25,0.6082864176132344,0.6151651299195501,-0.006878712306315695,-0.5009138795392566,0.620994928776351,-0.10018277590785132,negligible,False
p3_recall,25,0.5815112068066213,0.6215573588124247,-0.04004615200580334,-1.032482517789176,0.31213893971160284,-0.20649650355783522,small,False
p3_f1,25,0.5850767387646132,0.6028383723219605,-0.017761633557347355,-0.8493102645190542,0.4041012907856558,-0.16986205290381087,negligible,False
p3_auc,25,0.6479654107222274,0.6438020715114895,0.004163339210737793,0.28381789609687635,0.778984056671016,0.05676357921937527,negligible,False
avo_precision,25,0.5788889190775056,0.750202821826713,-0.17131390274920757,-9.093161069768291,3.042188012395128e-09,-1.8186322139536586,large,True
avo_recall,25,0.8312111219315534,0.8181202135762057,0.013090908355347666,0.49564341518542976,0.6246541983510676,0.09912868303708595,negligible,False
avo_f1,25,0.6786135652837764,0.7714416723889496,-0.09282810710517309,-7.811291898418101,4.802787634185606e-08,-1.5622583796836202,large,True
avo_auc,25,0.6925771898633033,0.822309829434215,-0.12973263957091194,-6.494068190133062,1.0243233946364345e-06,-1.2988136380266124,large,True
