repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5696378830083565,0.5707547169811321,0.5609756097560976,0.634020618556701,0.37846153846153846,0.47398843930635837,0.6155033391046253,0.4772727272727273,0.6176470588235294,0.5384615384615384,0.6366421568627451,636,82
1,2,0.5933147632311978,0.5962732919254659,0.5675675675675675,0.6057347670250897,0.5297805642633229,0.5652173913043479,0.6443501326259946,0.5952380952380952,0.625,0.6097560975609756,0.6125,644,74
1,3,0.5891364902506964,0.5853269537480064,0.6153846153846154,0.5939849624060151,0.5096774193548387,0.548611111111111,0.6290220820189274,0.7692307692307693,0.40816326530612246,0.5333333333333333,0.6831875607385811,627,91
1,4,0.5676429567642957,0.554160125588697,0.675,0.6792452830188679,0.2236024844720497,0.33644859813084116,0.6221532091097308,0.9230769230769231,0.32432432432432434,0.48,0.7988686360779385,637,80
1,5,0.5690376569037657,0.5714285714285714,0.547945205479452,0.5929203539823009,0.42138364779874216,0.4926470588235295,0.6082301192267624,0.6206896551724138,0.45,0.5217391304347826,0.6704545454545454,644,73
2,1,0.5710306406685237,0.56120826709062,0.6404494382022472,0.5503355704697986,0.7663551401869159,0.640625,0.608700489541611,0.5483870967741935,0.8947368421052632,0.6799999999999999,0.736842105263158,629,89
2,2,0.532033426183844,0.5278637770897833,0.5694444444444444,0.603448275862069,0.11041009463722397,0.18666666666666665,0.5825319053052458,0.8666666666666667,0.30952380952380953,0.45614035087719296,0.6928571428571428,646,72
2,3,0.5988857938718662,0.5912636505460218,0.6623376623376623,0.6875,0.36890243902439024,0.4801587301587301,0.6369029065690018,0.6190476190476191,0.41935483870967744,0.5,0.6269284712482468,641,77
2,4,0.595536959553696,0.5849056603773585,0.6790123456790124,0.5592783505154639,0.7,0.6217765042979942,0.6358005145458144,0.6949152542372882,0.8367346938775511,0.7592592592592592,0.7066326530612245,636,81
2,5,0.5481171548117155,0.5471698113207547,0.5555555555555556,0.6829268292682927,0.1761006289308176,0.28,0.6040109172896642,0.5909090909090909,0.325,0.41935483870967744,0.6219512195121951,636,81
3,1,0.5793871866295265,0.5864779874213837,0.524390243902439,0.654054054054054,0.378125,0.4792079207920792,0.626710838607595,0.5,0.28205128205128205,0.36065573770491804,0.6416219439475253,636,82
3,2,0.5821727019498607,0.569620253164557,0.6744186046511628,0.6277372262773723,0.28013029315960913,0.38738738738738737,0.6073866198947632,0.75,0.6923076923076923,0.7199999999999999,0.7358597285067874,632,86
3,3,0.575208913649025,0.5703245749613601,0.6197183098591549,0.5814814814814815,0.48757763975155277,0.5304054054054054,0.6021500238891543,0.6388888888888888,0.6216216216216216,0.6301369863013699,0.65818759936407,647,71
3,4,0.5899581589958159,0.5902668759811617,0.5875,0.6131386861313869,0.5201238390092879,0.5628140703517589,0.6214923783794443,0.5405405405405406,0.5555555555555556,0.547945205479452,0.6912878787878788,637,80
3,5,0.6262203626220363,0.6226415094339622,0.654320987654321,0.6385135135135135,0.5869565217391305,0.6116504854368933,0.6422933892471416,0.5869565217391305,0.75,0.6585365853658538,0.6993827160493827,636,81
4,1,0.5891364902506963,0.5919003115264797,0.5657894736842105,0.6218487394957983,0.4625,0.5304659498207887,0.6225931677018633,0.5882352941176471,0.5128205128205128,0.547945205479452,0.6174636174636173,642,76
4,2,0.5710306406685237,0.5592417061611374,0.6588235294117647,0.5980392156862745,0.3824451410658307,0.46653919694072654,0.6006529161591757,0.6410256410256411,0.625,0.6329113924050633,0.6877777777777778,633,85
4,3,0.5988857938718662,0.6,0.5897435897435898,0.5884146341463414,0.6146496815286624,0.6012461059190031,0.6302704075651596,0.6756756756756757,0.5555555555555556,0.6097560975609757,0.6626262626262626,640,78
4,4,0.5620641562064156,0.5598755832037325,0.581081081081081,0.569078947368421,0.5323076923076923,0.5500794912559618,0.5981035316884373,0.5555555555555556,0.4411764705882353,0.49180327868852464,0.6352941176470588,643,74
4,5,0.5732217573221757,0.5634920634920635,0.6436781609195402,0.5903083700440529,0.4240506329113924,0.4935543278084714,0.6031302910586149,0.6486486486486487,0.5714285714285714,0.6075949367088608,0.6703703703703704,630,87
5,1,0.5584958217270195,0.5496062992125984,0.6265060240963856,0.5331905781584583,0.7854889589905363,0.6352040816326531,0.5777731484237049,0.627906976744186,0.6428571428571429,0.6352941176470588,0.6684088269454124,635,83
5,2,0.5431754874651811,0.5383435582822086,0.5909090909090909,0.5451263537906137,0.46319018404907975,0.5008291873963516,0.5603240618766232,0.6666666666666666,0.36363636363636365,0.4705882352941177,0.7043158861340679,652,66
5,3,0.5877437325905293,0.5812101910828026,0.6333333333333333,0.5945945945945946,0.4935897435897436,0.5394045534150612,0.6161858974358974,0.6590909090909091,0.6170212765957447,0.6373626373626374,0.6843146956952004,628,90
5,4,0.5815899581589958,0.5817610062893082,0.5802469135802469,0.5688311688311688,0.6865203761755486,0.6221590909090909,0.6276613628946927,0.5625,0.675,0.6136363636363636,0.6676829268292683,636,81
5,5,0.595536959553696,0.5871271585557299,0.6625,0.6083650190114068,0.5,0.548885077186964,0.639067429022082,0.6774193548387096,0.5526315789473685,0.6086956521739131,0.718671679197995,637,80
